"","participant","Expra.Code","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","corr_ans_num","type","img","task_response.keys","task_response.corr","task_response.rt","condition","recogAcc"
"14",19,NA,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Electronic device & accessory",4,1,"stimuli/objects/spotlight.jpg",4,1,1.6509,1,1
"15",19,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Kitchen & utensil",1,1,"stimuli/objects/peppermill02b.jpg",1,1,1.0594,0,1
"16",19,NA,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Kitchen & utensil",4,1,"stimuli/objects/canister.jpg",4,1,1.2592,0,NA
"17",19,NA,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Kitchen & utensil",3,0,"stimuli/objects/fryingpan02a.jpg",1,0,0.8498,1,1
"18",19,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Kitchen & utensil",1,1,"stimuli/objects/muffintray01.jpg",1,1,1.3629,0,1
"19",19,NA,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Kitchen & utensil",3,0,"stimuli/objects/bowl02a.jpg",4,0,1.2434,1,1
"20",19,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Kitchen & utensil",1,1,"stimuli/objects/cowbell.jpg",1,1,0.83,0,NA
"21",19,NA,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Electronic device & accessory",4,1,"stimuli/objects/usbkey.jpg",4,1,1.2256,1,1
"22",19,NA,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item",1,0,"stimuli/objects/toyhockeystick01.jpg",2,0,1.1788,0,1
"23",19,NA,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory",1,0,"stimuli/objects/tablesaw.jpg",2,0,2.1019,1,0
"24",19,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Kitchen & utensil",1,1,"stimuli/objects/kitchenscale01a.jpg",1,1,2.0861,0,0
"25",19,NA,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Electronic device & accessory",4,1,"stimuli/objects/securitycamera.jpg",3,0,1.4767,1,0
"26",19,NA,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Electronic device & accessory",2,1,"stimuli/objects/photocopier.jpg",2,1,1.8311,1,1
"27",19,NA,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Electronic device & accessory",4,1,"stimuli/objects/phonejack.jpg",4,1,1.3732,1,0
"28",19,NA,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory",1,0,"stimuli/objects/swissarmyknife01a.jpg",2,0,1.3442,1,NA
"29",19,NA,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Electronic device & accessory",4,1,"stimuli/objects/lamp04a.jpg",4,1,1.25,1,NA
"30",19,NA,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Kitchen & utensil",2,1,"stimuli/objects/pastaspoon.jpg",2,1,1.5139,0,1
