"","participant","Expra.Code","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","corr_ans_num","type","img","task_response.keys","task_response.corr","task_response.rt","condition","recogAcc"
"34",28,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item",3,1,"stimuli/objects/bikepump01.jpg",3,1,1.6961,1,1
"35",28,NA,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item",1,1,"stimuli/objects/golfball.jpg",1,1,3.0015,1,1
"36",28,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",4,0,"stimuli/objects/caulking.jpg",2,0,1.0007,1,1
"37",28,NA,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",4,1,"stimuli/objects/staplegun.jpg",4,1,1.8508,0,0
"38",28,NA,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",4,1,"stimuli/objects/tennisball01b.jpg",4,1,1.5008,1,1
"39",28,NA,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item",3,1,"stimuli/objects/umbrella04.jpg",3,1,1.3456,1,1
"40",28,NA,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory",1,1,"stimuli/objects/flashlight02b.jpg",1,1,1.866,0,0
"41",28,NA,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory",2,1,"stimuli/objects/lock03a.jpg",2,1,1.0787,0,1
"42",28,NA,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",4,1,"stimuli/objects/sledgehammer.jpg",4,1,1.3658,0,1
"43",28,NA,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item",2,1,"stimuli/objects/binoculars01b.jpg",2,1,1.0724,1,0
