images,type,corr_ans,order
stimuli/objects/pot01.jpg,old,left,91
stimuli/objects/aluminiumfoil.jpg,new,right,92
stimuli/objects/charcoalbarbecue.jpg,old,left,93
stimuli/objects/footballhelmet.jpg,new,right,94
stimuli/objects/cleaver01.jpg,old,left,95
stimuli/objects/snowshoe.jpg,old,left,96
stimuli/objects/avcable.jpg,old,left,97
stimuli/objects/measuringspoon.jpg,old,left,98
stimuli/objects/cutleryset.jpg,new,right,99
stimuli/objects/audiocablesplitter.jpg,old,left,100
stimuli/objects/pastaspoon.jpg,old,left,101
stimuli/objects/faxmachine.jpg,old,left,102
stimuli/objects/swimgoggles.jpg,old,left,103
stimuli/objects/ladder.jpg,new,right,104
stimuli/objects/fridge.jpg,old,left,105
stimuli/objects/muffintray01.jpg,old,left,106
stimuli/objects/shotglass.jpg,old,left,107
stimuli/objects/webcam.jpg,new,right,108
stimuli/objects/icepack.jpg,old,left,109
stimuli/objects/outletadapter.jpg,new,right,110
stimuli/objects/tableknife02.jpg,new,right,111
stimuli/objects/payphone.jpg,old,left,112
stimuli/objects/airconditioner.jpg,new,right,113
stimuli/objects/wheelbarrow01.jpg,new,right,114
stimuli/objects/dvdcase01.jpg,new,right,115
stimuli/objects/knife03.jpg,old,left,116
stimuli/objects/jug.jpg,new,right,117
stimuli/objects/microwave.jpg,new,right,118
stimuli/objects/cookingpot.jpg,old,left,119
stimuli/objects/powercable.jpg,old,left,120
stimuli/objects/icebucket.jpg,old,left,121
stimuli/objects/expansioncard.jpg,old,left,122
stimuli/objects/fonduefork01.jpg,old,left,123
stimuli/objects/photocopier.jpg,old,left,124
stimuli/objects/spotlight.jpg,old,left,125
stimuli/objects/snowshovel.jpg,old,left,126
stimuli/objects/spatula03.jpg,old,left,127
stimuli/objects/radio01.jpg,old,left,128
stimuli/objects/fanblades.jpg,new,right,129
stimuli/objects/wafflemaker.jpg,new,right,130
stimuli/objects/cassettetape01a.jpg,new,right,131
stimuli/objects/djmixer02.jpg,old,left,132
stimuli/objects/saltshaker03a.jpg,old,left,133
stimuli/objects/gps.jpg,old,left,134
stimuli/objects/icecubetray01a.jpg,new,right,135
stimuli/objects/stovetop.jpg,new,right,136
stimuli/objects/beermug01a.jpg,old,left,137
stimuli/objects/peppermill02b.jpg,old,left,138
stimuli/objects/studiolight.jpg,new,right,139
stimuli/objects/lectern01.jpg,old,left,140
stimuli/objects/chocolatefonduedish.jpg,old,left,141
stimuli/objects/bikepump01.jpg,old,left,142
stimuli/objects/lightbulb01.jpg,old,left,143
stimuli/objects/videocamera01a.jpg,old,left,144
stimuli/objects/cork02.jpg,new,right,145
stimuli/objects/remotecontrol04.jpg,old,left,146
stimuli/objects/taperecorder.jpg,old,left,147
stimuli/objects/canister.jpg,old,left,148
stimuli/objects/lawnmower.jpg,old,left,149
stimuli/objects/cellphone.jpg,new,right,150
stimuli/objects/phonejack.jpg,old,left,151
stimuli/objects/surfboard.jpg,old,left,152
stimuli/objects/adjustablewrench01b.jpg,old,left,153
stimuli/objects/spicerack.jpg,old,left,154
stimuli/objects/peeler01.jpg,old,left,155
stimuli/objects/blender.jpg,new,right,156
stimuli/objects/heatpump.jpg,old,left,157
stimuli/objects/bottlecap.jpg,old,left,158
stimuli/objects/coffeemachine.jpg,old,left,159
stimuli/objects/hockeygoaliepad.jpg,new,right,160
stimuli/objects/solderingiron.jpg,new,right,161
stimuli/objects/papershredder.jpg,new,right,162
stimuli/objects/electricoutlet.jpg,old,left,163
stimuli/objects/boltcutter.jpg,old,left,164
stimuli/objects/satellitedish01.jpg,new,right,165
stimuli/objects/butterdish.jpg,new,right,166
stimuli/objects/printer02.jpg,new,right,167
stimuli/objects/shovel01.jpg,new,right,168
stimuli/objects/jack.jpg,old,left,169
stimuli/objects/fishingrod.jpg,new,right,170
stimuli/objects/floppydisk02a.jpg,new,right,171
stimuli/objects/kitchenscale01a.jpg,old,left,172
stimuli/objects/caulking.jpg,old,left,173
stimuli/objects/styrofoamcup.jpg,new,right,174
stimuli/objects/golfbag.jpg,old,left,175
stimuli/objects/smokedetector02.jpg,new,right,176
stimuli/objects/coffeepot03a.jpg,old,left,177
stimuli/objects/microphone01.jpg,new,right,178
stimuli/objects/cowbell.jpg,old,left,179
stimuli/objects/telephone01b.jpg,old,left,180
