"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
18,"//","right",2.5937,2,1.5135,"stimuli/objects/icecubetray01a.jpg","new","right"
18,"//","left",1.0672,3,0.4977,"stimuli/objects/oven.jpg","old","left"
18,"//","left",1.1177,4,0.3355,"stimuli/objects/charcoalbarbecue.jpg","old","left"
18,"//","left",0.9171,4,0.2861,"stimuli/objects/golfbag.jpg","old","left"
18,"//","left",1.7952,3,0.3174,"stimuli/objects/waterbottle03.jpg","old","left"
18,"//","right",3.8134,1,0.878,"stimuli/objects/footballhelmet.jpg","new","right"
18,"//","right",2.6444,3,0.373,"stimuli/objects/bottleopener01.jpg","new","right"
18,"//","right",3.5151,3,0.5306,"stimuli/objects/megaphone.jpg","new","right"
18,"//","left",2.6006,4,0.3703,"stimuli/objects/peeler01.jpg","old","left"
18,"//","left",3.996,4,0.5943,"stimuli/objects/pitcher02b.jpg","old","left"
18,"//","right",1.5804,3,0.3407,"stimuli/objects/ipod.jpg","old","left"
18,"//","left",1.7681,4,0.315,"stimuli/objects/painttray.jpg","old","left"
18,"//","left",1.0039,4,0.1369,"stimuli/objects/swissarmyknife01a.jpg","old","left"
18,"//","left",1.1116,2,0.3434,"stimuli/objects/wheelbarrow01.jpg","new","right"
18,"//","right",1.493,3,0.6523,"stimuli/objects/mitresaw.jpg","new","right"
18,"//","left",1.6621,4,0.3356,"stimuli/objects/scanner.jpg","old","left"
18,"//","right",2.9685,2,1.4409,"stimuli/objects/jug.jpg","new","right"
18,"//","left",1.4299,4,0.4507,"stimuli/objects/taperecorder.jpg","old","left"
18,"//","left",1.3415,2,0.7318,"stimuli/objects/cookingpot.jpg","old","left"
18,"//","left",1.6158,4,0.3864,"stimuli/objects/floppydisk02a.jpg","new","right"
18,"//","right",2.8445,3,0.91,"stimuli/objects/toasteroven.jpg","old","left"
18,"//","left",1.9854,4,0.2848,"stimuli/objects/spatula03.jpg","old","left"
18,"//","left",1.0516,3,0.3869,"stimuli/objects/coffeepot03a.jpg","old","left"
