images,modal_categ,type,corr_ans,order
stimuli/objects/adjustablewrench01b.jpg,Hand labour tool & accessory,old,left,91
stimuli/objects/exercisebike.jpg,Outdoor activity & sport item,old,left,92
stimuli/objects/solderingiron.jpg,Hand labour tool & accessory,old,left,93
stimuli/objects/snowshoe.jpg,Outdoor activity & sport item,old,left,94
stimuli/objects/bikehelmet.jpg,Outdoor activity & sport item,old,left,95
stimuli/objects/cooler01.jpg,Outdoor activity & sport item,old,left,96
stimuli/objects/drillbit03a.jpg,Hand labour tool & accessory,old,left,97
stimuli/objects/bucket02.jpg,Hand labour tool & accessory,old,left,98
stimuli/objects/oven.jpg,Kitchen & utensil,old,left,99
stimuli/objects/gymnasticring.jpg,Outdoor activity & sport item,old,left,100
stimuli/objects/punchingbag.jpg,Outdoor activity & sport item,new,right,101
stimuli/objects/whisk.jpg,Kitchen & utensil,new,right,102
stimuli/objects/potatomasher03b.jpg,Kitchen & utensil,new,right,103
stimuli/objects/soccerball.jpg,Outdoor activity & sport item,new,right,104
stimuli/objects/bowl02a.jpg,Kitchen & utensil,old,left,105
stimuli/objects/kneepad01c.jpg,Outdoor activity & sport item,old,left,106
stimuli/objects/downhillski.jpg,Outdoor activity & sport item,new,right,107
stimuli/objects/aircompressor.jpg,Hand labour tool & accessory,new,right,108
stimuli/objects/wheel01.jpg,Hand labour tool & accessory,old,left,109
stimuli/objects/golfball.jpg,Outdoor activity & sport item,old,left,110
stimuli/objects/frisbee.jpg,Outdoor activity & sport item,old,left,111
stimuli/objects/tape02a.jpg,Hand labour tool & accessory,old,left,112
stimuli/objects/toaster01.jpg,Kitchen & utensil,new,right,113
stimuli/objects/hoe.jpg,Hand labour tool & accessory,old,left,114
stimuli/objects/dolly01.jpg,Hand labour tool & accessory,new,right,115
stimuli/objects/hammer01.jpg,Hand labour tool & accessory,old,left,116
stimuli/objects/tray.jpg,Kitchen & utensil,old,left,117
stimuli/objects/shovel01.jpg,Hand labour tool & accessory,new,right,118
stimuli/objects/pipewrench.jpg,Hand labour tool & accessory,old,left,119
stimuli/objects/measuringtape01.jpg,Hand labour tool & accessory,old,left,120
stimuli/objects/ladder.jpg,Hand labour tool & accessory,new,right,121
stimuli/objects/swimgoggles.jpg,Outdoor activity & sport item,old,left,122
stimuli/objects/podium.jpg,Outdoor activity & sport item,old,left,123
stimuli/objects/boxcutter03a.jpg,Hand labour tool & accessory,new,right,124
stimuli/objects/sportbag.jpg,Outdoor activity & sport item,old,left,125
stimuli/objects/axe01.jpg,Hand labour tool & accessory,new,right,126
stimuli/objects/magneticcompass.jpg,Outdoor activity & sport item,old,left,127
stimuli/objects/pickaxe02.jpg,Hand labour tool & accessory,old,left,128
stimuli/objects/puttyknife.jpg,Hand labour tool & accessory,old,left,129
stimuli/objects/spotlight.jpg,Electronic device & accessory,old,left,130
stimuli/objects/knife03.jpg,Kitchen & utensil,new,right,131
