character,left_categ,centleft_categ,centright_categ,right_categ,type,corr_ans,condition,corr_ans_num,img
stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,Hand labour tool & accessory,1,1,stimuli/objects/pipewrench.jpg
stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,1,Hand labour tool & accessory,1,3,stimuli/objects/metalscissors.jpg
stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,1,Outdoor activity & sport item,0,3,stimuli/objects/magneticcompass.jpg
stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,Outdoor activity & sport item,0,2,stimuli/objects/weight01.jpg
stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,0,Electronic device & accessory,0,3,stimuli/objects/chandelier.jpg
stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,1,Hand labour tool & accessory,1,3,stimuli/objects/painttray.jpg
stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,0,Kitchen & utensil,0,3,stimuli/objects/fonduefork01.jpg
stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,1,Hand labour tool & accessory,1,4,stimuli/objects/cheeseknife01.jpg
stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,Hand labour tool & accessory,1,2,stimuli/objects/gavel.jpg
stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,1,Outdoor activity & sport item,0,3,stimuli/objects/birdie.jpg
