images,modal_categ,type,corr_ans,order
stimuli/objects/bowrake.jpg,Hand labour tool & accessory,old,left,1
stimuli/objects/gps.jpg,Electronic device & accessory,new,right,2
stimuli/objects/toyhardhat.jpg,Hand labour tool & accessory,new,right,3
stimuli/objects/golfbag.jpg,Outdoor activity & sport item,old,left,4
stimuli/objects/cellphone.jpg,Electronic device & accessory,old,left,5
stimuli/objects/jumpercables.jpg,Hand labour tool & accessory,old,left,6
stimuli/objects/kite.jpg,Outdoor activity & sport item,new,right,7
stimuli/objects/wirestripper.jpg,Hand labour tool & accessory,old,left,8
stimuli/objects/walkman.jpg,Electronic device & accessory,old,left,9
stimuli/objects/ethernetcable02.jpg,Electronic device & accessory,new,right,10
stimuli/objects/paintroller01.jpg,Hand labour tool & accessory,new,right,11
stimuli/objects/drill01b.jpg,Hand labour tool & accessory,new,right,12
stimuli/objects/toolbox02.jpg,Hand labour tool & accessory,new,right,13
stimuli/objects/solderingwire.jpg,Hand labour tool & accessory,old,left,14
stimuli/objects/binoculars01b.jpg,Outdoor activity & sport item,old,left,15
stimuli/objects/volleyball.jpg,Outdoor activity & sport item,old,left,16
stimuli/objects/baseballglove.jpg,Outdoor activity & sport item,new,right,17
stimuli/objects/poolnet.jpg,Outdoor activity & sport item,new,right,18
stimuli/objects/filmnegative.jpg,Electronic device & accessory,new,right,19
stimuli/objects/propanetank01.jpg,Outdoor activity & sport item,old,left,20
stimuli/objects/boogieboard.jpg,Outdoor activity & sport item,old,left,21
stimuli/objects/alarmsystem.jpg,Electronic device & accessory,old,left,22
stimuli/objects/painttray.jpg,Hand labour tool & accessory,old,left,23
stimuli/objects/reflector.jpg,Outdoor activity & sport item,old,left,24
stimuli/objects/lawnmower.jpg,Hand labour tool & accessory,new,right,25
stimuli/objects/bungeecord02.jpg,Hand labour tool & accessory,old,left,26
stimuli/objects/hockeygoalieglove.jpg,Outdoor activity & sport item,old,left,27
stimuli/objects/mallet01b.jpg,Hand labour tool & accessory,old,left,28
stimuli/objects/file.jpg,Hand labour tool & accessory,old,left,29
