"","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
"65","left",2.976,2,0.6437,"stimuli/objects/filmroll.jpg","old","left"
"66","right",3.0042,4,0.2255,"stimuli/objects/foodprocessor.jpg","new","right"
"67","left",1.7218,3,1.0908,"stimuli/objects/backpack01a.jpg","old","left"
"68","right",2.5587,4,0.3435,"stimuli/objects/spatula04.jpg","old","left"
"69","right",1.0375,4,0.2102,"stimuli/objects/wiicontroller.jpg","old","left"
"70","left",2.6936,3,0.5011,"stimuli/objects/computerkeyboard02.jpg","old","left"
"71","left",1.4737,4,0.2318,"stimuli/objects/securitycamera.jpg","old","left"
"72","left",1.9033,3,0.8108,"stimuli/objects/screwdriver04b.jpg","new","right"
"73","right",1.1655,2,1.6255,"stimuli/objects/chandelier.jpg","old","left"
"74","right",0.9061,4,0.3147,"stimuli/objects/walkietalkie.jpg","old","left"
"75","right",2.9714,4,0.2151,"stimuli/objects/funnel.jpg","old","left"
"76","right",1.5126,4,0.4773,"stimuli/objects/carlighter02.jpg","old","left"
"77","right",0.9719,3,0.7214,"stimuli/objects/umbrella04.jpg","old","left"
"78","right",1.2974,3,1.9923,"stimuli/objects/speaker04.jpg","new","right"
"79","left",1.6105,3,0.5073,"stimuli/objects/scanner.jpg","old","left"
"80","right",1.0551,4,0.4846,"stimuli/objects/espressomachine.jpg","new","right"
"81","right",1.3004,2,0.3011,"stimuli/objects/alarmclock01.jpg","new","right"
"82","left",1.3392,4,1.429,"stimuli/objects/garlicpress02a.jpg","new","right"
"83","right",1.7546,2,1.2067,"stimuli/objects/minifridge.jpg","old","left"
"84","right",4.4049,4,0.6081,"stimuli/objects/nutcracker01.jpg","new","right"
"85","left",1.6843,2,0.9397,"stimuli/objects/carantenna.jpg","old","left"
"86","right",1.8763,2,0.451,"stimuli/objects/servingspoon01.jpg","old","left"
"87","left",1.0098,4,0.1874,"stimuli/objects/kneepad01c.jpg","old","left"
"88","left",1.6581,4,0.2831,"stimuli/objects/mitresaw.jpg","new","right"
"89","right",2.6839,4,0.8246,"stimuli/objects/martiniglass01b.jpg","old","left"
"90","right",1.4365,2,1.0491,"stimuli/objects/fan.jpg","new","right"
"91","left",4.452,2,1.1248,"stimuli/objects/powercable.jpg","old","left"
"92","right",18.4477,1,3.5831,"stimuli/objects/butterdish.jpg","new","right"
"93","right",1.2041,2,0.4767,"stimuli/objects/fridge.jpg","old","left"
"94","right",1.7378,2,0.2492,"stimuli/objects/jack.jpg","old","left"
"95","right",2.4942,3,1.1554,"stimuli/objects/chocolatefonduedish.jpg","old","left"
"96","right",1.0381,3,0.3057,"stimuli/objects/peeler01.jpg","old","left"
"97","right",2.0407,2,1.6582,"stimuli/objects/djmixer02.jpg","old","left"
"98","right",1.4143,4,0.2718,"stimuli/objects/lectern01.jpg","old","left"
"99","right",1.3032,4,0.3921,"stimuli/objects/styrofoamcup.jpg","new","right"
"100","right",3.1462,2,0.3653,"stimuli/objects/snowshoe.jpg","old","left"
"101","right",2.3536,4,0.7889,"stimuli/objects/studiolight.jpg","new","right"
"102","right",2.1447,1,2.3949,"stimuli/objects/audiocablesplitter.jpg","old","left"
"103","left",1.6821,3,1.0442,"stimuli/objects/measuringspoon.jpg","old","left"
"104","left",1.039,3,0.2808,"stimuli/objects/adjustablewrench01b.jpg","old","left"
"105","right",1.329,3,1.6657,"stimuli/objects/heatpump.jpg","old","left"
"106","right",1.0595,4,1.2078,"stimuli/objects/printer02.jpg","new","right"
"107","right",1.2988,2,0.6259,"stimuli/objects/spotlight.jpg","old","left"
"108","right",2.354,4,0.1497,"stimuli/objects/floppydisk02a.jpg","new","right"
"109","right",1.0514,4,0.0192,"stimuli/objects/icepack.jpg","old","left"
"110","right",1.3983,4,0.5765,"stimuli/objects/webcam.jpg","new","right"
"111","right",1.3647,4,0.2312,"stimuli/objects/cutleryset.jpg","new","right"
"112","left",1.4761,3,0.7485,"stimuli/objects/stovetop.jpg","new","right"
"113","right",2.4008,2,4.4964,"stimuli/objects/lawnmower.jpg","old","left"
"114","right",1.6159,2,0.3909,"stimuli/objects/coffeepot03a.jpg","old","left"
"115","right",1.9571,2,0.9899,"stimuli/objects/cowbell.jpg","old","left"
"116","left",1.35,4,0.4101,"stimuli/objects/microwave.jpg","new","right"
"117","left",9.3336,3,0.5607,"stimuli/objects/bikepump01.jpg","old","left"
