"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
6,NA,"left",1.9327,4,1.1625,"stimuli/objects/electricoutlet.jpg","old","left"
6,NA,"right",3.4336,2,1.2195,"stimuli/objects/potatomasher03b.jpg","old","left"
6,NA,"left",2.0331,4,1.4646,"stimuli/objects/icebucket.jpg","old","left"
6,NA,"left",3.5864,2,0.5666,"stimuli/objects/tripod01.jpg","new","right"
6,NA,"left",1.5096,4,0.7403,"stimuli/objects/cakeplatter.jpg","old","left"
6,NA,"right",1.4713,2,0.4124,"stimuli/objects/dvdcase01.jpg","new","right"
6,NA,"left",2.0361,1,0.5773,"stimuli/objects/icecubetray01a.jpg","new","right"
6,NA,"left",5.0208,2,1.3527,"stimuli/objects/cellphone.jpg","new","right"
6,NA,"right",1.3529,3,2.5482,"stimuli/objects/mitresaw.jpg","new","right"
6,NA,"left",1.5156,2,0.3483,"stimuli/objects/wafflemaker.jpg","new","right"
6,NA,"left",1.7365,4,1.6951,"stimuli/objects/spatula03.jpg","old","left"
6,NA,"left",1.5315,4,0.726,"stimuli/objects/painttray.jpg","old","left"
6,NA,"left",1.4507,3,0.3667,"stimuli/objects/waterbottle03.jpg","old","left"
6,NA,"left",3.7646,2,0.6649,"stimuli/objects/hockeypuck.jpg","new","right"
6,NA,"left",1.269,4,0.5839,"stimuli/objects/chocolatefonduedish.jpg","old","left"
6,NA,"left",1.0211,4,0.3818,"stimuli/objects/peeler01.jpg","old","left"
6,NA,"left",5.8436,2,0.4392,"stimuli/objects/fishingrod.jpg","new","right"
6,NA,"left",1.2963,4,0.397,"stimuli/objects/spicerack.jpg","old","left"
6,NA,"left",1.0326,4,0.3791,"stimuli/objects/walkietalkie.jpg","old","left"
6,NA,"left",0.9143,4,0.3633,"stimuli/objects/bikepump01.jpg","old","left"
6,NA,"left",0.8406,4,0.3549,"stimuli/objects/bowl02a.jpg","old","left"
6,NA,"right",2.3114,2,0.4243,"stimuli/objects/usbcable01a.jpg","new","right"
6,NA,"left",1.0048,4,0.3875,"stimuli/objects/spotlight.jpg","old","left"
6,NA,"right",2.0561,3,1.5868,"stimuli/objects/jack.jpg","old","left"
6,NA,"left",1.4315,4,0.4639,"stimuli/objects/carantenna.jpg","old","left"
6,NA,"left",1.537,4,0.3423,"stimuli/objects/alarmsystem.jpg","old","left"
6,NA,"left",0.8575,4,0.4313,"stimuli/objects/pitcher02b.jpg","old","left"
6,NA,"right",1.3271,2,0.8449,"stimuli/objects/smokedetector02.jpg","new","right"
6,NA,"right",1.2614,3,1.3615,"stimuli/objects/garlicpress02a.jpg","new","right"
6,NA,"right",1.8549,2,0.4947,"stimuli/objects/alarmclock01.jpg","new","right"
6,NA,"left",1.347,4,0.4571,"stimuli/objects/swimgoggles.jpg","old","left"
6,NA,"right",1.3408,3,3.7599,"stimuli/objects/styrofoamcup.jpg","new","right"
6,NA,"right",1.7691,3,1.9357,"stimuli/objects/expansioncard.jpg","old","left"
6,NA,"left",1.205,4,0.5759,"stimuli/objects/podium.jpg","old","left"
6,NA,"right",3.0969,2,0.8829,"stimuli/objects/avcable.jpg","old","left"
6,NA,"left",0.9243,3,0.4898,"stimuli/objects/camera01a.jpg","old","left"
6,NA,"right",2.3472,2,0.489,"stimuli/objects/phonejack.jpg","old","left"
6,NA,"right",1.0201,3,0.3322,"stimuli/objects/securitycamera.jpg","old","left"
6,NA,"right",4.8779,3,2.3889,"stimuli/objects/tupperware03a.jpg","old","left"
6,NA,"left",2.129,3,0.8733,"stimuli/objects/solderingiron.jpg","new","right"
6,NA,"right",1.1386,2,0.3997,"stimuli/objects/foodprocessor.jpg","new","right"
6,NA,"left",1.1857,4,0.3708,"stimuli/objects/coffeemaker.jpg","old","left"
6,NA,"left",1.2966,4,0.4901,"stimuli/objects/photocopier.jpg","old","left"
6,NA,"left",0.8597,4,0.4649,"stimuli/objects/golfbag.jpg","old","left"
6,NA,"right",1.0234,2,0.5455,"stimuli/objects/megaphone.jpg","new","right"
6,NA,"right",1.1508,3,0.7307,"stimuli/objects/extensioncord.jpg","old","left"
6,NA,"right",2.0861,2,3.2833,"stimuli/objects/fan.jpg","new","right"
6,NA,"left",1.0623,4,0.5162,"stimuli/objects/snowshovel.jpg","old","left"
6,NA,"right",1.7781,1,1.7533,"stimuli/objects/chandelier.jpg","old","left"
6,NA,"left",1.2445,4,0.8489,"stimuli/objects/cashregister01.jpg","old","left"
6,NA,"left",1.1278,4,0.4127,"stimuli/objects/surfboard.jpg","old","left"
6,NA,"right",1.4925,3,0.738,"stimuli/objects/outletadapter.jpg","new","right"
6,NA,"left",0.9687,4,0.2882,"stimuli/objects/breadknife.jpg","old","left"
6,NA,"right",4.0153,3,0.7791,"stimuli/objects/hockeygoaliemask.jpg","new","right"
6,NA,"left",1.9873,1,0.7992,"stimuli/objects/strainer01b.jpg","new","right"
6,NA,"right",2.1074,3,0.4016,"stimuli/objects/fanblades.jpg","new","right"
6,NA,"right",1.0539,3,0.299,"stimuli/objects/wheelbarrow01.jpg","new","right"
6,NA,"left",1.4708,4,0.6734,"stimuli/objects/oven.jpg","old","left"
6,NA,"left",1.0188,4,0.4327,"stimuli/objects/charcoalbarbecue.jpg","old","left"
6,NA,"right",1.6356,3,1.2221,"stimuli/objects/bottleopener01.jpg","new","right"
6,NA,"right",1.2529,3,0.4557,"stimuli/objects/scanner.jpg","old","left"
6,NA,"right",3.2697,2,0.7842,"stimuli/objects/cookingpot.jpg","old","left"
6,NA,"left",1.6171,4,0.6141,"stimuli/objects/icepack.jpg","old","left"
6,NA,"right",1.2517,2,1.1201,"stimuli/objects/desktopcomputer.jpg","old","left"
6,NA,"left",1.0863,4,0.434,"stimuli/objects/toasteroven.jpg","old","left"
6,NA,"left",1.2092,4,0.3746,"stimuli/objects/knife03.jpg","old","left"
6,NA,"left",1.1775,4,0.3157,"stimuli/objects/ipod.jpg","old","left"
6,NA,"right",1.1168,2,0.403,"stimuli/objects/airconditioner.jpg","new","right"
