"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
13,917868,"right",3.8766,2,0.0138,"stimuli/objects/djmixer02.jpg","old","left"
13,917868,"right",1.0351,3,1.1905,"stimuli/objects/payphone.jpg","old","left"
13,917868,"right",1.7104,2,0.0862,"stimuli/objects/extensioncord.jpg","old","left"
13,917868,"right",1.0873,4,0.3851,"stimuli/objects/hockeygoaliemask.jpg","new","right"
13,917868,"left",1.4973,3,0.4056,"stimuli/objects/cameracase01a.jpg","old","left"
13,917868,"right",1.1091,2,8e-04,"stimuli/objects/printer02.jpg","new","right"
13,917868,"right",1.0675,3,0.1722,"stimuli/objects/fishingrod.jpg","new","right"
13,917868,"right",0.7867,2,0.1349,"stimuli/objects/microphone01.jpg","new","right"
13,917868,"right",0.8333,3,0.3637,"stimuli/objects/filmnegative.jpg","old","left"
13,917868,"right",0.7405,3,0.2005,"stimuli/objects/cassettetape01a.jpg","new","right"
13,917868,"left",1.4675,4,0.2668,"stimuli/objects/painttray.jpg","old","left"
13,917868,"right",0.853,2,0.0885,"stimuli/objects/walkietalkie.jpg","old","left"
13,917868,"left",1.5039,4,0.2596,"stimuli/objects/bikepump01.jpg","old","left"
13,917868,"right",1.3428,2,0.0938,"stimuli/objects/screwdriver04b.jpg","new","right"
13,917868,"right",1.0344,3,0.8383,"stimuli/objects/knifesharpener.jpg","old","left"
13,917868,"right",0.946,3,0.1134,"stimuli/objects/pastaspoon.jpg","old","left"
13,917868,"right",1.8586,3,0.9952,"stimuli/objects/tupperware03a.jpg","old","left"
13,917868,"left",2.4875,1,0.0015,"stimuli/objects/fanheater.jpg","old","left"
13,917868,"right",1.0383,3,2.1706,"stimuli/objects/desktopcomputer.jpg","old","left"
13,917868,"left",2.3053,3,0.3911,"stimuli/objects/snowshoe.jpg","old","left"
13,917868,"right",0.8764,3,0.5303,"stimuli/objects/spicerack.jpg","old","left"
13,917868,"right",1.1326,3,0.4978,"stimuli/objects/airconditioner.jpg","new","right"
13,917868,"right",0.9058,2,0.0539,"stimuli/objects/whisk.jpg","old","left"
13,917868,"right",0.7479,2,0.1503,"stimuli/objects/radio01.jpg","old","left"
13,917868,"right",0.7899,2,0.0497,"stimuli/objects/tableknife02.jpg","new","right"
13,917868,"left",1.0036,4,0.0909,"stimuli/objects/umbrella04.jpg","old","left"
13,917868,"right",1.4281,2,0.1077,"stimuli/objects/blender.jpg","new","right"
13,917868,"right",1.1373,3,0.1848,"stimuli/objects/smokedetector02.jpg","new","right"
13,917868,"right",0.7297,3,0.1724,"stimuli/objects/grill.jpg","old","left"
13,917868,"right",0.7981,4,0.3042,"stimuli/objects/lamp04a.jpg","old","left"
13,917868,"right",1.1912,2,0.0445,"stimuli/objects/icecubetray01a.jpg","new","right"
13,917868,"right",0.7995,2,0.6278,"stimuli/objects/strainer01b.jpg","new","right"
13,917868,"right",1.016,3,0.319,"stimuli/objects/shotglass.jpg","old","left"
