instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.7087,4,0.0691,0,0,0,10,1,stimuli/objects/painttray.jpg,old,left,11,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.0212,4,0.5386,0,1,1,81,1,stimuli/objects/charcoalbarbecue.jpg,old,left,82,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3914,2,0.573,0,2,2,73,1,stimuli/objects/foodprocessor.jpg,new,right,74,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6139,3,0.2274,0,3,3,78,1,stimuli/objects/cutleryset.jpg,new,right,79,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.2955,4,0.448,0,4,4,67,1,stimuli/objects/carlighter02.jpg,old,left,68,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.7441,3,0.577,0,5,5,26,1,stimuli/objects/fryingpan02a.jpg,old,left,27,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.4922,3,0.288,0,6,6,17,1,stimuli/objects/handmixer01d.jpg,old,left,18,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3624,3,0.4322,0,7,7,59,1,stimuli/objects/alarmclock01.jpg,new,right,60,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.2763,4,0.2946,0,8,8,7,1,stimuli/objects/printer02.jpg,new,right,8,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.1286,2,1.9555,0,9,9,53,1,stimuli/objects/fork03c.jpg,old,left,54,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.639,4,0.085,0,10,10,33,1,stimuli/objects/footballhelmet.jpg,new,right,34,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.5006,3,1.6617,0,11,11,21,1,stimuli/objects/spotlight.jpg,old,left,22,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1251,3,0.2531,0,12,12,76,1,stimuli/objects/jug.jpg,new,right,77,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.5766,4,0.8601,0,13,13,22,1,stimuli/objects/photocopier.jpg,old,left,23,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.8177,4,0.3278,0,14,14,49,1,stimuli/objects/fan.jpg,new,right,50,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4808,4,0.2487,0,15,15,6,1,stimuli/objects/kitchenscale01a.jpg,old,left,7,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.6224,4,0.2882,0,16,16,4,1,stimuli/objects/securitycamera.jpg,old,left,5,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.7794,3,0.2033,0,17,17,46,1,stimuli/objects/bowl02a.jpg,old,left,47,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5185,4,0.2728,0,18,18,51,1,stimuli/objects/walkman.jpg,old,left,52,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1385,3,0.2135,0,19,19,5,1,stimuli/objects/filmnegative.jpg,old,left,6,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9019,4,0.3195,0,20,20,89,1,stimuli/objects/ipod.jpg,old,left,90,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.0034,4,0.3133,0,21,21,45,1,stimuli/objects/tripod01.jpg,new,right,46,,,,,,,,
,,,,,,,,21,,2021-12-20_14h20.25.047,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.194,4,0.3522,0,22,22,43,1,stimuli/objects/lightbulb01.jpg,old,left,44,,,,,,,,
