instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,3.036,2,3.024,0,0,0,88,1,stimuli/objects/skihelmet01.jpg,Outdoor activity & sport item,new,right,89,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,2.664,2,1.116,0,1,1,17,1,stimuli/objects/poolnet.jpg,Outdoor activity & sport item,new,right,18,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.883,4,0.015,0,2,2,31,1,stimuli/objects/monitor.jpg,Electronic device & accessory,old,left,32,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,8.315,1,1.191,0,3,3,60,1,stimuli/objects/remotecontrol04.jpg,Electronic device & accessory,new,right,61,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,6.227,1,0.874,0,4,4,81,1,stimuli/objects/charcoalbarbecue.jpg,Outdoor activity & sport item,old,left,82,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.02,1,0.361,0,5,5,12,1,stimuli/objects/toolbox02.jpg,Hand labour tool & accessory,new,right,13,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,2.323,1,0.337,0,6,6,38,1,stimuli/objects/mug01.jpg,Kitchen & utensil,new,right,39,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.332,1,0.347,0,7,7,11,1,stimuli/objects/drill01b.jpg,Hand labour tool & accessory,new,right,12,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.814,1,0.371,0,8,8,35,1,stimuli/objects/hedgetrimmer.jpg,Hand labour tool & accessory,new,right,36,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.736,1,0.339,0,9,9,76,1,stimuli/objects/blender.jpg,Kitchen & utensil,old,left,77,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.477,1,0.474,0,10,10,42,1,stimuli/objects/videocamera01a.jpg,Electronic device & accessory,old,left,43,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.772,1,1.15,0,11,11,19,1,stimuli/objects/propanetank01.jpg,Outdoor activity & sport item,old,left,20,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.066,1,0.343,0,12,12,0,1,stimuli/objects/bowrake.jpg,Hand labour tool & accessory,old,left,1,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,2.714,1,0.362,0,13,13,20,1,stimuli/objects/boogieboard.jpg,Outdoor activity & sport item,old,left,21,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.154,1,0.393,0,14,14,16,1,stimuli/objects/baseballglove.jpg,Outdoor activity & sport item,new,right,17,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.728,1,0.389,0,15,15,56,1,stimuli/objects/jackhammer.jpg,Hand labour tool & accessory,old,left,57,,,,,,,,
,,,,,,,,9,,2022-01-15_11h29.22.512,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.638,1,0.341,0,16,16,34,1,stimuli/objects/squeegee01b.jpg,Hand labour tool & accessory,old,left,35,,,,,,,,
