illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.6673000000044453],0,24,24,24,1,confident,d,1,Hit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9339999999999975],0,25,25,25,1,butterfly,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8839999999999861],0,26,26,26,1,cheer,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9671000000014942],0,27,27,27,1,street,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.6341000000014958],0,28,28,28,1,cheer,d,1,Hit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.2092000000029657],0,29,29,29,1,taxi,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9007999999970195],0,30,30,30,1,adventure,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9173000000044738],0,31,31,31,1,crutch,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.5342999999970175],0,32,32,32,1,adventure,d,1,Hit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7838999999985106],0,33,33,33,1,vest,l,0,NoHit
