instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.0892,4,0.4156,0,20,20,80,1,stimuli/objects/scanner.jpg,Electronic device & accessory,old,left,81,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.2501,4,0.5245,0,21,21,55,1,stimuli/objects/skigoggles01.jpg,Outdoor activity & sport item,old,left,56,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,6.3777,2,4.8437,0,22,22,81,1,stimuli/objects/spatula03.jpg,Kitchen & utensil,new,right,82,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.4171,4,1.4077,0,23,23,25,1,stimuli/objects/poolnet.jpg,Outdoor activity & sport item,new,right,26,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.6374,4,0.8312,0,24,24,26,1,stimuli/objects/pickaxe02.jpg,Hand labour tool & accessory,old,left,27,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6275,3,1.0059,0,25,25,62,1,stimuli/objects/paintbrush01.jpg,Hand labour tool & accessory,new,right,63,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9446,4,0.3375,0,26,26,18,1,stimuli/objects/wateringcan.jpg,Hand labour tool & accessory,new,right,19,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9251,4,0.6671,0,27,27,58,1,stimuli/objects/hedgeshears.jpg,Hand labour tool & accessory,old,left,59,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.6612,3,0.3519,0,28,28,14,1,stimuli/objects/punchingbag.jpg,Outdoor activity & sport item,new,right,15,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.8638,4,0.6651,0,29,29,27,1,stimuli/objects/staplegun.jpg,Hand labour tool & accessory,old,left,28,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,4.527,4,0.9317,0,30,30,36,1,stimuli/objects/jumpercables.jpg,Hand labour tool & accessory,old,left,37,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.8945,4,0.6391,0,31,31,45,1,stimuli/objects/lifejacket.jpg,Outdoor activity & sport item,new,right,46,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.8699,2,1.2542,0,32,32,28,1,stimuli/objects/shovel01.jpg,Hand labour tool & accessory,new,right,29,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.0021,3,1.7417,0,33,33,84,1,stimuli/objects/toyhardhat.jpg,Hand labour tool & accessory,new,right,85,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.6388,3,5.719,0,34,34,7,1,stimuli/objects/mallet01b.jpg,Hand labour tool & accessory,old,left,8,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2182,4,0.287,0,35,35,1,1,stimuli/objects/backpack01a.jpg,Outdoor activity & sport item,old,left,2,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,6.207,2,0.8225,0,36,36,63,1,stimuli/objects/file.jpg,Hand labour tool & accessory,old,left,64,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.947,2,0.3929,0,37,37,52,1,stimuli/objects/shopvac.jpg,Hand labour tool & accessory,old,left,53,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.7224,3,0.4351,0,38,38,85,1,stimuli/objects/toyhockeystick01.jpg,Outdoor activity & sport item,old,left,86,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.7823,4,0.5404,0,39,39,74,1,stimuli/objects/podium.jpg,Outdoor activity & sport item,old,left,75,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,7.1388,2,6.3531,0,40,40,34,1,stimuli/objects/skiboot01a.jpg,Outdoor activity & sport item,new,right,35,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.3054,3,0.9148,0,41,41,10,1,stimuli/objects/cleaver01.jpg,Kitchen & utensil,old,left,11,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9676,4,0.4591,0,42,42,88,1,stimuli/objects/solderingwire.jpg,Hand labour tool & accessory,old,left,89,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2861,4,0.2189,0,43,43,35,1,stimuli/objects/baseball01a.jpg,Outdoor activity & sport item,old,left,36,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.0911,4,0.3329,0,44,44,82,1,stimuli/objects/cclamp.jpg,Hand labour tool & accessory,old,left,83,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9357,3,0.6903,0,45,45,15,1,stimuli/objects/propanetank01.jpg,Outdoor activity & sport item,old,left,16,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9413,3,0.3726,0,46,46,41,1,stimuli/objects/teapot.jpg,Kitchen & utensil,old,left,42,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.8673,3,0.4299,0,47,47,42,1,stimuli/objects/swissarmyknife01a.jpg,Hand labour tool & accessory,new,right,43,,,,,,,,
,,,,,,,,16,,2022-01-09_23h25.27.734,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.2703,4,0.426,0,48,48,17,1,stimuli/objects/avcable.jpg,Electronic device & accessory,old,left,18,,,,,,,,
