instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.9479,4,2.2142,0,0,0,21,1,stimuli/objects/ipod.jpg,Electronic device & accessory,old,left,22,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9508,4,0.451,0,1,1,8,1,stimuli/objects/cuttingpliers02.jpg,Hand labour tool & accessory,old,left,9,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2199,2,0.6551,0,2,2,75,1,stimuli/objects/styrofoamcup.jpg,Kitchen & utensil,new,right,76,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9865,4,0.5066,0,3,3,68,1,stimuli/objects/icepack.jpg,Kitchen & utensil,old,left,69,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.8778,4,0.5959,0,4,4,9,1,stimuli/objects/pot01.jpg,Kitchen & utensil,old,left,10,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.9692,1,1.1264,0,5,5,84,1,stimuli/objects/cookingpot.jpg,Kitchen & utensil,old,left,85,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2418,3,1.2056,0,6,6,5,1,stimuli/objects/dvdcase01.jpg,Electronic device & accessory,new,right,6,,,,,,,,
,,,,,,,,30,570780,2022-01-10_15h11.14.509,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1916,2,0.7771,0,7,7,56,1,stimuli/objects/backpack01a.jpg,Outdoor activity & sport item,old,left,57,,,,,,,,
