instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.476,3,1.6719,0,20,20,75,1,stimuli/objects/shotglass.jpg,Kitchen & utensil,old,left,76,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4473,4,0.3104,0,21,21,0,1,stimuli/objects/ipod.jpg,Electronic device & accessory,old,left,1,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.0314,4,0.2763,0,22,22,33,1,stimuli/objects/powercable.jpg,Electronic device & accessory,old,left,34,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.9369,2,0.8522,0,23,23,78,1,stimuli/objects/wateringcan.jpg,Hand labour tool & accessory,old,left,79,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.5563,3,0.5737,0,24,24,79,1,stimuli/objects/espressomachine.jpg,Kitchen & utensil,new,right,80,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.2247,4,0.4146,0,25,25,55,1,stimuli/objects/fonduefork01.jpg,Kitchen & utensil,old,left,56,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,14.9321,2,2.9242,0,26,26,40,1,stimuli/objects/beermug01a.jpg,Kitchen & utensil,old,left,41,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2435,2,0.3859,0,27,27,32,1,stimuli/objects/thermos.jpg,Kitchen & utensil,new,right,33,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1515,4,0.4696,0,28,28,59,1,stimuli/objects/securitycamera.jpg,Electronic device & accessory,old,left,60,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.6427,3,0.2496,0,29,29,69,1,stimuli/objects/scanner.jpg,Electronic device & accessory,old,left,70,,,,,,,,
