myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,pract_resp.rt,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
[],[],10,10,space,21.0771,space,6.1175,0,0,0,0,1,stimuli/slide1.png,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,34.187,0,1,1,1,1,stimuli/slide2.png,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,37.1372,0,2,2,2,1,stimuli/slide3.png,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,47.8613,0,3,3,3,1,stimuli/slide4.png,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,7.25,0,4,4,4,1,stimuli/slide5.png,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,31.9041,0,5,5,5,1,stimuli/slide6.png,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[],,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,space,35.0644,,0,0,0,0,0,0,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,0,0,1,1,1,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,2.3147,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,0,0,0,2,2,2,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Food,4,0,stimuli/objects/cracker02.jpg,1.9118,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,0,0,3,3,3,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/hotdog.jpg,2.2344,,,,,,,,,,,,,,,,
1,"[0,0]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,1,0,4,4,4,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Vehicle.png,1,Food,3,1,stimuli/objects/kiwi03.jpg,1.0835,,,,,,,,,,,,,,,,
1,"[0,0,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,1,0,5,5,5,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Clothing.png,1,Food,3,1,stimuli/objects/greenolive.jpg,0.4291,,,,,,,,,,,,,,,,
0,"[0,0,1,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,0,0,6,6,6,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/paperairplane.jpg,2.3042,,,,,,,,,,,,,,,,
1,"[0,0,1,1,0]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,1,1,0,7,7,7,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Clothing.png,1,Gamestoy & entertainment,2,1,stimuli/objects/toyanimal02.jpg,1.7834,,,,,,,,,,,,,,,,
1,"[0,0,1,1,0,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,1,0,8,8,8,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/casabamelon.jpg,1.2669,,,,,,,,,,,,,,,,
1,"[0,0,1,1,0,1,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,1,0,9,9,9,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,1,Gamestoy & entertainment,1,1,stimuli/objects/paddleball.jpg,0.7727,,,,,,,,,,,,,,,,
1,"[0,0,1,1,0,1,1,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,1,0,10,10,10,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,stimuli/Vehicle.png,1,Gamestoy & entertainment,1,1,stimuli/objects/rockinghorse.jpg,0.5432,,,,,,,,,,,,,,,,
1,"[0,0,1,1,0,1,1,1,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,1,1,0,11,11,11,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,Food,2,1,stimuli/objects/arugula.jpg,0.805,,,,,,,,,,,,,,,,
1,"[0,0,1,1,0,1,1,1,1,1]",,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,1,0,12,12,12,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,1,Gamestoy & entertainment,3,1,stimuli/objects/dartboard.jpg,1.884,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,,2022-01-13_20h43.42.000,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,n,95.9884,0,0,0,0,1,,,,,,,,,
