"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
32,NA,"[""l""]",1,"[5.0164999999999935]","bless","l",0,"NoHit"
32,NA,"[""l""]",1,"[2.9811999999880783]","nature","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.592000000000013]","carefree","l",0,"NoHit"
32,NA,"[""d""]",1,"[2.1266999999880767]","nature","d",1,"Hit"
32,NA,"[""l""]",1,"[1.5538000000119183]","easygoing","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.4432000000178817]","pillow","l",0,"NoHit"
32,NA,"[""d""]",1,"[1.5605000000000047]","easygoing","d",1,"Hit"
32,NA,"[""l""]",1,"[1.0073000000119237]","gentle","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.1738000000119229]","square","l",0,"NoHit"
32,NA,"[""d""]",1,"[1.3900000000000006]","gentle","d",1,"Hit"
32,NA,"[""l""]",1,"[1.091099999994043]","carefree","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.2049999999999983]","tool","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.2744000000059543]","bored","l",0,"NoHit"
32,NA,"[""d""]",1,"[1.759400000005968]","tool","d",1,"Hit"
32,NA,"[""l""]",1,"[1.6572999999821292]","home","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.1762000000178858]","immature","l",0,"NoHit"
32,NA,"[""d""]",1,"[0.844200000017878]","home","d",1,"Hit"
32,NA,"[""l""]",1,"[1.1567000000178922]","fault","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.2194999999999965]","pillow","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.1580000000000013]","violin","l",0,"NoHit"
32,NA,"[""l""]",0,"[2.2620000000000005]","violin","d",1,"Hit"
32,NA,"[""l""]",1,"[1.959200000017887]","tense","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.4786999999880663]","confident","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.7600999999940257]","bomb","l",0,"NoHit"
32,NA,"[""d""]",1,"[1.1278999999761652]","confident","d",1,"Hit"
32,NA,"[""l""]",1,"[1.7132999999821266]","butterfly","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.176800000011923]","cheer","l",0,"NoHit"
32,NA,"[""l""]",1,"[1.1288000000119212]","street","l",0,"NoHit"
32,NA,"[""d""]",1,"[1.6097999999821297]","cheer","d",1,"Hit"
32,NA,"[""l""]",1,"[1.343999999999994]","taxi","l",0,"NoHit"
