slides,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,condition,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,respcorrs,myownaccuracy,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,taskprep0.started,taskprep0.stopped,taskGo.started,taskGo.stopped,taskGoresp.keys,taskGoresp.rt,taskGoresp.started,taskGoresp.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,feedbImage.started,feedbImage.stopped,rep_resp.keys,rep_resp.rt,rep_resp.started,rep_resp.stopped,task_response.keys,task_response.corr,task_response.rt,feedbImage_2.started,feedbImage_2.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],space,0.04106202301045414,,,,,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
stimuli/slide1.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.14271110598929226,6.559025129987276,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
stimuli/slide2.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.14473625500977505,6.74189491099969,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
stimuli/slide3.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.12537065699871164,6.9270696789899375,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
stimuli/slide4.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.1602609279943863,7.093166510996525,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
stimuli/slide5.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.12704605900216848,7.296014783991268,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
stimuli/slide6.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.14069084599032067,7.463051767990692,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6138425870012725,None,7.807054467994021,None,space,0.18407056800788268,7.807054467994021,None,,,,,,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,0.46555792400613427,10.877791020990117,11.380175390993827,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,3,0,0.61784920199716,15.097519611997996,15.60486984999443,,,,,,,,,,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/spotlight.jpg,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,n,1.1182645029912237,16.323749374991166,None,2,0,0.5845140730089042,23.897600826996495,24.405029282992473,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/peppermill02b.jpg,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0.8500182029965799,28.335430136998184,28.846844499988947,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Kitchen & utensil,4,1,stimuli/objects/canister.jpg,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.9185889500076883,32.85215525300009,33.355470067996066,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,3,0,stimuli/objects/fryingpan02a.jpg,1,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.1022518050012877,37.55561747199681,38.06443841799046,551,,2021_Dez_03_1742,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.89169641063738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2.438232361993869,,,,,,,,,
