images,key,word,CORRanswer,trialtype,hit_NoHit,illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,image.started,image.stopped,text_3.started,text_3.stopped,blank.started,blank.stopped,word_pres.started,word_pres.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,participant,Expra Code,date,expName,psychopyVersion,frameRate,
slide 1.jpg,'space’,,,,,0,0,0,0,,,,,8.452408550016116,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
slide 2.jpg,'l’,,,,,0,1,1,1,,,,,9.044221645017387,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
slide 3.jpg,'l’,,,,,0,2,2,2,,,,,9.363556438009255,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
slide 4.jpg,'l’,,,,,0,3,3,3,,,,,9.594496395002352,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
slide 5.jpg,'d’,,,,,0,4,4,4,,,,,9.794996353011811,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
slide 6.jpg,'l’,,,,,0,5,5,5,,,,,10.020209398004226,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
slide 7.jpg,'space’,,,,,0,6,6,6,,,,,10.500174368993612,None,,,,,,,,,,,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,bless,l,0,NoHit,,,,,0,0,0,0,,,11.026133192994166,None,12.295996555010788,None,13.311700210004346,14.814598983997712,14.79792855901178,None,None,0,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,nature,l,0,NoHit,,,,,0,1,1,1,,,,,,,14.998326616012491,16.501151275006123,16.484436433005612,16.68481626099674,None,0,,1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,carefree,l,0,NoHit,,,,,0,2,2,2,,,,,,,16.701602267014096,None,None,None,['d'],0,[0.0504196849942673],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,nature,d,1,Hit,,,,,0,3,3,3,,,,,,,16.771277143998304,None,None,None,['d'],0,[0.23388172200066037],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,easygoing,l,0,NoHit,,,,,0,4,4,4,,,,,,,17.018964543996844,None,None,None,['d'],0,[0.20052013100939803],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,pillow,l,0,NoHit,,,,,0,5,5,5,,,,,,,17.23873944801744,None,None,None,['d'],0,[0.1506085860019084],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,easygoing,d,1,Hit,,,,,0,6,6,6,,,,,,,17.405743367009563,None,None,None,['d'],0,[0.16736016198410653],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,gentle,l,0,NoHit,,,,,0,7,7,7,,,,,,,17.586545282014413,None,None,None,['d'],0,[0.15057778701884672],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,square,l,0,NoHit,,,,,0,8,8,8,,,,,,,17.753605489007896,None,None,None,['d'],0,[0.1839263169968035],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,gentle,d,1,Hit,,,,,0,9,9,9,,,,,,,17.956890428002225,None,None,None,['d'],0,[0.16724890901241452],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,carefree,l,0,NoHit,,,,,0,10,10,10,,,,,,,18.140466020005988,None,None,None,['d'],0,[0.15047002700157464],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,tool,l,0,NoHit,,,,,0,11,11,11,,,,,,,18.304586195998127,None,None,None,['d'],0,[0.1504668149864301],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,bored,l,0,NoHit,,,,,0,12,12,12,,,,,,,18.471624824014725,None,None,None,['d'],0,[0.15053218201501295],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,tool,d,1,Hit,,,,,0,13,13,13,,,,,,,18.641498028009664,None,None,None,['d'],0,[0.18088222600636072],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,home,l,0,NoHit,,,,,0,14,14,14,,,,,,,18.83904264701414,None,None,None,['d'],0,[0.16722753801150247],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,immature,l,0,NoHit,,,,,0,15,15,15,,,,,,,19.02564354101196,None,None,None,['d'],0,[0.16434365601162426],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,home,d,1,Hit,,,,,0,16,16,16,,,,,,,19.206381901021814,None,None,None,['d'],0,[0.16715644299983978],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,fault,l,0,NoHit,,,,,0,17,17,17,,,,,,,19.390032288007205,None,None,None,['d'],0,[0.18379439300042577],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,pillow,l,0,NoHit,,,,,0,18,18,18,,,,,,,19.590464491018793,None,None,None,['d'],0,[0.18377358000725508],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,violin,l,0,NoHit,,,,,0,19,19,19,,,,,,,19.793759344000136,None,None,None,['d'],0,[0.15048650599783286],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,violin,d,1,Hit,,,,,0,20,20,20,,,,,,,19.960590900009265,None,None,None,['d'],0,[0.16449150099651888],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,tense,l,0,NoHit,,,,,0,21,21,21,,,,,,,20.1415483400051,None,None,None,['d'],0,[0.9353865619923454],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,confident,l,0,NoHit,,,,,0,22,22,22,,,,,,,21.093343155022012,None,None,None,['d'],0,[0.13390016599441878],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,bomb,l,0,NoHit,,,,,0,23,23,23,,,,,,,21.24365150401718,None,None,None,['d'],0,[0.15048357300111093],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,confident,d,1,Hit,,,,,0,24,24,24,,,,,,,21.41062587799388,None,None,None,['d'],0,[0.16998927100212313],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,butterfly,l,0,NoHit,,,,,0,25,25,25,,,,,,,21.594194203004008,None,None,None,['d'],0,[0.16728368398617022],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,cheer,l,0,NoHit,,,,,0,26,26,26,,,,,,,21.780833295022603,None,None,None,['d'],0,[0.15104876802070066],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
,,street,l,0,NoHit,,,,,0,27,27,27,,,,,,,21.94488698101486,None,None,None,['d'],0,[0.1339086850057356],1,,2021_Nov_25_1300,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.8894488620173,
