instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.6365,4,1.1536,0,23,23,39,1,stimuli/objects/screwdriver04b.jpg,new,right,40,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.0263,4,0.3092,0,24,24,44,1,stimuli/objects/lightbulb01.jpg,old,left,45,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.3663,4,0.8946,0,25,25,38,1,stimuli/objects/caulking.jpg,old,left,39,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1188,4,0.3947,0,26,26,28,1,stimuli/objects/crocodileclips.jpg,old,left,29,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.0054,4,0.6632,0,27,27,78,1,stimuli/objects/wateringcan.jpg,old,left,79,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9903,4,0.3382,0,28,28,7,1,stimuli/objects/expansioncard.jpg,old,left,8,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.8462,4,0.3023,0,29,29,33,1,stimuli/objects/powercable.jpg,old,left,34,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.982,4,0.2518,0,30,30,41,1,stimuli/objects/beachumbrella01.jpg,old,left,42,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.813,4,0.2404,0,31,31,42,1,stimuli/objects/microwave.jpg,new,right,43,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.8812,4,0.2569,0,32,32,81,1,stimuli/objects/toyhockeystick01.jpg,old,left,82,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9551,4,0.3642,0,33,33,67,1,stimuli/objects/foodprocessor.jpg,new,right,68,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6837,4,0.2854,0,34,34,55,1,stimuli/objects/fonduefork01.jpg,old,left,56,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6815,4,0.2353,0,35,35,88,1,stimuli/objects/cuttingboard.jpg,old,left,89,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.1491,3,1.0437,0,36,36,19,1,stimuli/objects/fan.jpg,new,right,20,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.2315,4,0.6868,0,37,37,79,1,stimuli/objects/espressomachine.jpg,new,right,80,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5844,4,0.4041,0,38,38,89,1,stimuli/objects/minifridge.jpg,old,left,90,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.8219,4,0.3809,0,39,39,4,1,stimuli/objects/fanheater.jpg,old,left,5,,,,,,,,
