instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.1837,2,0.0707,0,54,54,35,1,stimuli/objects/waterbottle03.jpg,old,left,36
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.0944,2,0.0006,0,55,55,23,1,stimuli/objects/camera01a.jpg,old,left,24
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3068,2,0.0526,0,56,56,63,1,stimuli/objects/carantenna.jpg,old,left,64
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.0003,2,0.0529,0,57,57,28,1,stimuli/objects/swissarmyknife01a.jpg,old,left,29
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2534,2,0.0763,0,58,58,39,1,stimuli/objects/hockeygoaliemask.jpg,new,right,40
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2155,2,0.1287,0,59,59,40,1,stimuli/objects/cameracase01a.jpg,old,left,41
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.0003,2,0.0002,0,60,60,45,1,stimuli/objects/hourglass.jpg,new,right,46
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2002,2,0.1937,0,61,61,21,1,stimuli/objects/speaker04.jpg,new,right,22
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.0314,2,0.0936,0,62,62,32,1,stimuli/objects/alarmclock01.jpg,new,right,33
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.1909,2,0.0245,0,63,63,71,1,stimuli/objects/spatula04.jpg,old,left,72
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.0003,2,0.0003,0,64,64,69,1,stimuli/objects/tripod01.jpg,new,right,70
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.112,2,0.095,0,65,65,52,1,stimuli/objects/ethernetcable02.jpg,new,right,53
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.039,2,0.0233,0,66,66,86,1,stimuli/objects/nutcracker01.jpg,new,right,87
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2354,2,0.0006,0,67,67,81,1,stimuli/objects/foodprocessor.jpg,new,right,82
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.212,2,0.1033,0,68,68,75,1,stimuli/objects/lamp04a.jpg,old,left,76
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2726,2,0.5722,0,69,69,72,1,stimuli/objects/securitycamera.jpg,old,left,73
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.3486,2,0.1275,0,70,70,82,1,stimuli/objects/desktopcomputer.jpg,old,left,83
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.1769,2,0.1652,0,71,71,16,1,stimuli/objects/walkman.jpg,old,left,17
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.4821,3,0.4543,0,72,72,48,1,stimuli/objects/contactlens.jpg,new,right,49
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.999,3,0.183,0,73,73,30,1,stimuli/objects/wiicontroller.jpg,old,left,31
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.0397,2,0.1271,0,74,74,37,1,stimuli/objects/beachumbrella01.jpg,old,left,38
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3928,2,0.3156,0,75,75,88,1,stimuli/objects/computerkeyboard02.jpg,old,left,89
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1826,3,0.0643,0,76,76,6,1,stimuli/objects/toasteroven.jpg,old,left,7
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.9511,3,0.0556,0,77,77,5,1,stimuli/objects/extensioncord.jpg,old,left,6
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.668,2,0.1252,0,78,78,11,1,stimuli/objects/pitcher02b.jpg,old,left,12
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.1209,2,0.2278,0,79,79,7,1,stimuli/objects/walkietalkie.jpg,old,left,8
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.47,4,0.3353,0,80,80,22,1,stimuli/objects/bowl02a.jpg,old,left,23
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.2978,2,0.3074,0,81,81,1,1,stimuli/objects/backpack01a.jpg,old,left,2
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,4.3175,3,0.2509,0,82,82,51,1,stimuli/objects/fuse.jpg,new,right,52
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.0331,3,0.2201,0,83,83,31,1,stimuli/objects/potatomasher03b.jpg,old,left,32
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.4993,2,0.2876,0,84,84,89,1,stimuli/objects/strainer01b.jpg,new,right,90
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1618,2,0.2239,0,85,85,47,1,stimuli/objects/chandelier.jpg,old,left,48
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3468,2,0.3034,0,86,86,60,1,stimuli/objects/wire.jpg,new,right,61
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.5382,2,0.0931,0,87,87,64,1,stimuli/objects/alarmsystem.jpg,old,left,65
