"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
25,250761,"left",0.9563,4,1.4214,"stimuli/objects/flashlight02b.jpg","old","left"
25,250761,"left",0.9782,4,1.2199,"stimuli/objects/avcable.jpg","old","left"
25,250761,"right",1.5006,2,1.6583,"stimuli/objects/canoepaddle02.jpg","new","right"
25,250761,"left",1.2214,4,0.6635,"stimuli/objects/icebucket.jpg","old","left"
25,250761,"left",1.2573,4,1.0337,"stimuli/objects/monitor.jpg","old","left"
25,250761,"left",1.1372,3,1.1989,"stimuli/objects/hedgetrimmer.jpg","new","right"
25,250761,"left",0.8552,3,0.8699,"stimuli/objects/ethernetcable02.jpg","new","right"
25,250761,"left",0.9309,4,0.499,"stimuli/objects/gavel.jpg","old","left"
25,250761,"left",0.9048,4,0.5829,"stimuli/objects/boogieboard.jpg","old","left"
25,250761,"right",1.5857,2,1.3499,"stimuli/objects/waterbottleholder.jpg","new","right"
25,250761,"left",1.2889,3,0.9564,"stimuli/objects/toolbox02.jpg","new","right"
25,250761,"left",0.8728,4,0.5922,"stimuli/objects/nailgun.jpg","old","left"
25,250761,"left",0.6422,4,0.4702,"stimuli/objects/bicycle.jpg","old","left"
25,250761,"right",1.5388,2,0.7777,"stimuli/objects/football.jpg","new","right"
25,250761,"right",1.7472,1,0.6443,"stimuli/objects/jumpercables.jpg","old","left"
25,250761,"left",0.6631,4,0.4772,"stimuli/objects/volleyball.jpg","old","left"
25,250761,"left",0.8374,4,0.3636,"stimuli/objects/toyhockeystick01.jpg","old","left"
25,250761,"right",1.0161,2,0.6764,"stimuli/objects/punchingball.jpg","old","left"
25,250761,"left",1.2159,2,0.9945,"stimuli/objects/squeegee01b.jpg","old","left"
25,250761,"right",1.9821,2,0.3941,"stimuli/objects/spatula03.jpg","new","right"
25,250761,"left",0.8849,4,0.566,"stimuli/objects/reflector.jpg","old","left"
