instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6918,1,0.9276,0,23,23,46,1,stimuli/objects/ipod.jpg,old,left,47,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.8859,3,1.0846,0,24,24,67,1,stimuli/objects/corkscrew03a.jpg,new,right,68,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1816,3,0.733,0,25,25,34,1,stimuli/objects/freezer02.jpg,old,left,35,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4932,3,0.7016,0,26,26,53,1,stimuli/objects/fanheater.jpg,old,left,54,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3608,4,0.9584,0,27,27,87,1,stimuli/objects/bottleopener01.jpg,new,right,88,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.458,2,1.127,0,28,28,89,1,stimuli/objects/strainer01b.jpg,new,right,90,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3368,4,1.0144,0,29,29,76,1,stimuli/objects/nintendods.jpg,old,left,77,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2906,3,0.7385,0,30,30,80,1,stimuli/objects/crocodileclips.jpg,old,left,81,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,7.432,2,4.0572,0,31,31,65,1,stimuli/objects/antenna.jpg,new,right,66,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6703,4,1.4411,0,32,32,33,1,stimuli/objects/fork03c.jpg,old,left,34,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.8045,4,0.5917,0,33,33,26,1,stimuli/objects/megaphone.jpg,new,right,27,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3278,3,0.5947,0,34,34,16,1,stimuli/objects/walkman.jpg,old,left,17,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.7276,1,0.9877,0,35,35,8,1,stimuli/objects/usbcable01a.jpg,new,right,9,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.4083,3,1.2632,0,36,36,20,1,stimuli/objects/lightswitch01.jpg,old,left,21,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1773,1,1.7529,0,37,37,69,1,stimuli/objects/tripod01.jpg,new,right,70,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.1112,4,0.3871,0,38,38,64,1,stimuli/objects/alarmsystem.jpg,old,left,65,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,7.7108,3,0.7461,0,39,39,14,1,stimuli/objects/whisk.jpg,old,left,15,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9377,4,0.8039,0,40,40,70,1,stimuli/objects/wateringcan.jpg,old,left,71,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,4.6677,2,1.911,0,41,41,5,1,stimuli/objects/extensioncord.jpg,old,left,6,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2412,2,0.7333,0,42,42,59,1,stimuli/objects/cuttingboard.jpg,old,left,60,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5007,4,0.3761,0,43,43,29,1,stimuli/objects/anchor.jpg,new,right,30,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9736,3,0.8389,0,44,44,37,1,stimuli/objects/beachumbrella01.jpg,old,left,38,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.3811,2,1.0154,0,45,45,51,1,stimuli/objects/fuse.jpg,new,right,52,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.7179,3,1.188,0,46,46,6,1,stimuli/objects/toasteroven.jpg,old,left,7,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.073,4,0.4716,0,47,47,73,1,stimuli/objects/oven.jpg,old,left,74,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.6759,4,0.2481,0,48,48,44,1,stimuli/objects/squeegee01b.jpg,old,left,45,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1982,4,0.854,0,49,49,28,1,stimuli/objects/swissarmyknife01a.jpg,old,left,29,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.171,4,1.4494,0,50,50,75,1,stimuli/objects/lamp04a.jpg,old,left,76,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,116.3378,3,1.1546,0,51,51,40,1,stimuli/objects/cameracase01a.jpg,old,left,41,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.9689,1,0.8181,0,52,52,83,1,stimuli/objects/knifesharpener.jpg,old,left,84,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2566,4,0.3594,0,53,53,36,1,stimuli/objects/filmnegative.jpg,old,left,37,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.3232,2,1.0563,0,54,54,4,1,stimuli/objects/toaster01.jpg,new,right,5,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9224,1,1.6058,0,55,55,43,1,stimuli/objects/grill.jpg,old,left,44,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.9159,2,0.3427,0,56,56,27,1,stimuli/objects/cashregister01.jpg,old,left,28,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,6.5072,2,1.6743,0,57,57,35,1,stimuli/objects/waterbottle03.jpg,old,left,36,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1854,4,0.2414,0,58,58,62,1,stimuli/objects/cuttingpliers02.jpg,old,left,63,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6061,1,0.7594,0,59,59,55,1,stimuli/objects/tupperware03a.jpg,old,left,56,,,,,,,,
