instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,0.8406,4,0.3549,0,20,20,38,1,stimuli/objects/bowl02a.jpg,Kitchen & utensil,old,left,39,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,2.3114,2,0.4243,0,21,21,64,1,stimuli/objects/usbcable01a.jpg,Electronic device & accessory,new,right,65,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.0048,4,0.3875,0,22,22,48,1,stimuli/objects/spotlight.jpg,Electronic device & accessory,old,left,49,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,2.0561,3,1.5868,0,23,23,17,1,stimuli/objects/jack.jpg,Electronic device & accessory,old,left,18,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.4315,4,0.4639,0,24,24,63,1,stimuli/objects/carantenna.jpg,Electronic device & accessory,old,left,64,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.537,4,0.3423,0,25,25,19,1,stimuli/objects/alarmsystem.jpg,Electronic device & accessory,old,left,20,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,0.8575,4,0.4313,0,26,26,82,1,stimuli/objects/pitcher02b.jpg,Kitchen & utensil,old,left,83,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.3271,2,0.8449,0,27,27,87,1,stimuli/objects/smokedetector02.jpg,Electronic device & accessory,new,right,88,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.2614,3,1.3615,0,28,28,89,1,stimuli/objects/garlicpress02a.jpg,Kitchen & utensil,new,right,90,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.8549,2,0.4947,0,29,29,35,1,stimuli/objects/alarmclock01.jpg,Electronic device & accessory,new,right,36,,,,,,,,
