myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,,Electronic device & accessory,1,1,stimuli/objects/coffeemachine.jpg,,,,,,,,1,1,2.919,0,16,16,16,1,0
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/cowbell.jpg,,,,,,,,1,1,1.2045,0,17,17,17,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,3,1,stimuli/objects/bottlecap.jpg,,,,,,,,3,1,1.6653,0,18,18,18,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Kitchen & utensil,2,1,stimuli/objects/oven.jpg,,,,,,,,2,1,2.5246,0,19,19,19,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/tupperware03a.jpg,,,,,,,,1,1,1.1758,0,20,20,20,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,,Kitchen & utensil,3,1,stimuli/objects/bowl02a.jpg,,,,,,,,3,1,1.2367,0,21,21,21,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Electronic device & accessory,1,1,stimuli/objects/scanner.jpg,,,,,,,,2,0,1.2164,0,22,22,22,1,0
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Electronic device & accessory,3,1,stimuli/objects/extensioncord.jpg,,,,,,,,3,1,1.016,0,23,23,23,1,0
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/expansioncard.jpg,,,,,,,,4,1,1.3912,0,24,24,24,1,0
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Electronic device & accessory,3,1,stimuli/objects/gps.jpg,,,,,,,,3,1,1.1149,0,25,25,25,1,0
