instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.4398,2,5.0585,0,0,0,53,1,stimuli/objects/patioumbrella.jpg,Outdoor activity & sport item,new,right,54,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4813,3,1.9936,0,1,1,9,1,stimuli/objects/ethernetcable02.jpg,Electronic device & accessory,new,right,10,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.14,4,1.2622,0,2,2,47,1,stimuli/objects/hedgeshears.jpg,Hand labour tool & accessory,old,left,48,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1953,4,0.4515,0,3,3,39,1,stimuli/objects/weight01.jpg,Outdoor activity & sport item,old,left,40,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2171,3,1.1951,0,4,4,17,1,stimuli/objects/poolnet.jpg,Outdoor activity & sport item,new,right,18,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9042,4,0.6794,0,5,5,66,1,stimuli/objects/exercisebench.jpg,Outdoor activity & sport item,old,left,67,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.9924,2,0.7115,0,6,6,86,1,stimuli/objects/sledgehammer.jpg,Hand labour tool & accessory,old,left,87,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.0993,4,1.5332,0,7,7,84,1,stimuli/objects/lifejacket.jpg,Outdoor activity & sport item,new,right,85,,,,,,,,
,,,,,,,,17,,2022-01-09_23h24.29.181,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,10.142,3,2.4745,0,8,8,59,1,stimuli/objects/needlenosepliers01.jpg,Hand labour tool & accessory,new,right,60,,,,,,,,
