"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
2,473878,"[""l""]",1,"[3.7247999999970176]","bless","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.5009999999999906]","nature","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.4007000000029706]","carefree","l",0,"NoHit"
2,473878,"[""d""]",1,"[2.2519999999999953]","nature","d",1,"Hit"
2,473878,"[""l""]",1,"[1.5648999999985165]","easygoing","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.1673999999985085]","pillow","l",0,"NoHit"
2,473878,"[""l""]",0,"[6.60219999999552]","easygoing","d",1,"Hit"
2,473878,"[""l""]",1,"[1.017300000004468]","gentle","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.1167999999970277]","square","l",0,"NoHit"
2,473878,"[""l""]",0,"[3.7347999999970227]","gentle","d",1,"Hit"
2,473878,"[""d""]",0,"[2.051000000000016]","carefree","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.5005000000000166]","tool","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.8502000000029852]","bored","l",0,"NoHit"
2,473878,"[""l""]",0,"[1.3677000000029977]","tool","d",1,"Hit"
2,473878,"[""l""]",1,"[1.1007000000029734]","home","l",0,"NoHit"
2,473878,"[""l""]",1,"[2.2007000000029677]","immature","l",0,"NoHit"
2,473878,"[""d""]",1,"[2.5180000000000007]","home","d",1,"Hit"
2,473878,"[""l""]",1,"[1.6389000000059468]","fault","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.3671000000014715]","pillow","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.086500000000001]","violin","l",0,"NoHit"
2,473878,"[""l""]",0,"[1.2836000000014849]","violin","d",1,"Hit"
2,473878,"[""l""]",1,"[1.2839999999999918]","tense","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.0676999999955115]","confident","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.9003000000044779]","bomb","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.6673000000044453]","confident","d",1,"Hit"
2,473878,"[""l""]",1,"[0.9339999999999975]","butterfly","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.8839999999999861]","cheer","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.9671000000014942]","street","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.6341000000014958]","cheer","d",1,"Hit"
2,473878,"[""l""]",1,"[1.2092000000029657]","taxi","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.9007999999970195]","adventure","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.9173000000044738]","crutch","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.5342999999970175]","adventure","d",1,"Hit"
2,473878,"[""l""]",1,"[0.7838999999985106]","vest","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.7674000000059493]","taxi","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.8505000000000109]","brave","l",0,"NoHit"
2,473878,"[""l""]",1,"[4.350999999999999]","square","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.400800000004466]","brave","d",1,"Hit"
2,473878,"[""l""]",1,"[1.4011000000014917]","unhappy","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.9508000000044774]","deformed","l",0,"NoHit"
2,473878,"[""l""]",1,"[2.067799999997021]","rifle","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.6007000000030018]","deformed","d",1,"Hit"
2,473878,"[""l""]",1,"[1.2674000000059777]","tense","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.7339000000059741]","inferior","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.7173999999985199]","exercise","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.451100000001503]","inferior","d",1,"Hit"
2,473878,"[""l""]",1,"[1.0338999999985106]","crutch","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.48359999999405545]","obesity","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.8172000000029698]","bless","l",0,"NoHit"
2,473878,"[""d""]",1,"[0.8502000000029852]","obesity","d",1,"Hit"
2,473878,"[""l""]",1,"[0.8340000000000032]","pistol","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.4000000000000057]","bored","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.8506000000014922]","pity","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.3177000000029864]","politeness","l",0,"NoHit"
2,473878,"[""l""]",0,"[2.126900000005975]","pity","d",1,"Hit"
2,473878,"[""l""]",1,"[0.616899999998509]","beautiful","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.7504999999999882]","street","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.0367999999970152]","beautiful","d",1,"Hit"
2,473878,"[""l""]",1,"[1.2342000000029714]","aroused","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.5507000000029905]","demon","l",0,"NoHit"
2,473878,"[""d""]",1,"[0.8839999999999861]","aroused","d",1,"Hit"
2,473878,"[""l""]",1,"[0.9834999999999923]","cash","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6672999999970273]","immature","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.3703999999985115]","cheer","l",0,"NoHit"
2,473878,"[""l""]",0,"[1.3676999999955228]","cheer","d",1,"Hit"
2,473878,"[""l""]",1,"[0.917400000005955]","controlling","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6341000000014958]","messy","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6506999999955099]","cliff","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.7673999999985028]","butterfly","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.4004999999999939]","cliff","d",1,"Hit"
2,473878,"[""l""]",1,"[1.0012000000029673]","erotic","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.5837000000029775]","vest","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6005000000000109]","dazzle","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.18420000000296]","disloyal","l",0,"NoHit"
2,473878,"[""d""]",1,"[0.9512000000029843]","dazzle","d",1,"Hit"
2,473878,"[""l""]",1,"[0.9007000000029848]","defiant","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.5671000000014885]","fault","l",0,"NoHit"
2,473878,"[""l""]",0,"[0.5837999999970123]","defiant","d",1,"Hit"
2,473878,"[""l""]",1,"[1.150999999999982]","shotgun","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6842999999970232]","revolt","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.8006000000014808]","unhappy","l",0,"NoHit"
2,473878,"[""d""]",1,"[0.8506000000014922]","revolt","d",1,"Hit"
2,473878,"[""l""]",1,"[0.733799999997018]","car","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.5840000000000032]","fight","l",0,"NoHit"
2,473878,"[""l""]",1,"[1.6510000000000105]","obsession","l",0,"NoHit"
2,473878,"[""l""]",0,"[0.9838999999984992]","obsession","d",1,"Hit"
2,473878,"[""l""]",1,"[0.7673999999985028]","messy","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6593999999985272]","anger","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6672999999970273]","exercise","l",0,"NoHit"
2,473878,"[""l""]",0,"[0.6834000000059461]","anger","d",1,"Hit"
2,473878,"[""l""]",1,"[0.7934999999999945]","suspicious","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.7433999999985019]","politeness","l",0,"NoHit"
2,473878,"[""l""]",0,"[0.8341000000015129]","suspicious","d",1,"Hit"
2,473878,"[""l""]",1,"[0.750199999995516]","shark","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6342999999970118]","detest","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.0211000000014963]","shark","d",1,"Hit"
2,473878,"[""l""]",1,"[0.6672999999970273]","cash","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.5838999999984935]","cancer","l",0,"NoHit"
2,473878,"[""l""]",1,"[0.6185999999940464]","pistol","l",0,"NoHit"
2,473878,"[""d""]",1,"[1.701100000001503]","cancer","d",1,"Hit"
