illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit,key_resp_4.rt
0,0,0,0,1,slide 1.jpg,'space’,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,0,0,0,1,bless,l,0,NoHit,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,1,1,1,1,nature,l,0,NoHit,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,"[""l""]",1,0,2,2,2,1,carefree,l,0,NoHit,[0.5767999999523141]
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,"[""d"",""d""]",0,0,3,3,3,1,nature,d,1,Hit,"[0.9251999999284735,1.624899999976158]"
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,"[""d"",""d"",""d"",""d""]",0,0,4,4,4,1,easygoing,l,0,NoHit,"[0.23289999997615496,0.46539999997615666,0.6696999999284756,0.8620000000000019]"
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,5,5,5,1,pillow,l,0,NoHit,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,6,6,6,1,easygoing,d,1,Hit,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,7,7,7,1,gentle,l,0,NoHit,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,8,8,8,1,square,l,0,NoHit,
,,,,,,,999,,2021-12-02_11h36.12.752,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,9,9,9,1,gentle,d,1,Hit,
