instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.388,4,2.8978,0,0,0,7,1,stimuli/objects/expansioncard.jpg,old,left,8
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.0889,4,0.8168,0,1,1,9,1,stimuli/objects/aluminiumfoil.jpg,new,right,10
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9734,4,0.5598,0,2,2,62,1,stimuli/objects/garlicpress02a.jpg,new,right,63
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9351,4,0.4346,0,3,3,65,1,stimuli/objects/cuttingpliers02.jpg,old,left,66
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.7708,4,0.5535,0,4,4,42,1,stimuli/objects/microwave.jpg,new,right,43
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3159,4,1.494,0,5,5,43,1,stimuli/objects/umbrella04.jpg,old,left,44
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2789,4,0.747,0,6,6,10,1,stimuli/objects/adjustablewrench01b.jpg,old,left,11
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.7163,4,0.6175,0,7,7,67,1,stimuli/objects/foodprocessor.jpg,new,right,68
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.9279,4,1.8909,0,8,8,32,1,stimuli/objects/thermos.jpg,new,right,33
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.0077,4,2.2426,0,9,9,54,1,stimuli/objects/lectern01.jpg,old,left,55
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.4842,4,0.3973,0,10,10,66,1,stimuli/objects/coffeemachine.jpg,old,left,67
,,,,,,,,991,,2021-12-02_11h44.27.224,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.0483,4,0.5186,0,11,11,85,1,stimuli/objects/muffintray01.jpg,old,left,86
