illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit,key_resp_4.rt
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,25,25,25,1,butterfly,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,26,26,26,1,cheer,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,27,27,27,1,street,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,28,28,28,1,cheer,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,29,29,29,1,taxi,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,30,30,30,1,adventure,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,31,31,31,1,crutch,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,32,32,32,1,adventure,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,33,33,33,1,vest,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,34,34,34,1,taxi,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,35,35,35,1,brave,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,36,36,36,1,square,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,37,37,37,1,brave,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,38,38,38,1,unhappy,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,39,39,39,1,deformed,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,40,40,40,1,rifle,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,41,41,41,1,deformed,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,42,42,42,1,tense,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,43,43,43,1,inferior,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,44,44,44,1,exercise,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,45,45,45,1,inferior,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,46,46,46,1,crutch,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,47,47,47,1,obesity,l,0,NoHit,
