slides,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,condition,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,respcorrs,myownaccuracy,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,taskprep0.started,taskprep0.stopped,taskGo.started,taskGo.stopped,taskGoresp.keys,taskGoresp.rt,taskGoresp.started,taskGoresp.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,feedbImage.started,feedbImage.stopped,rep_resp.keys,rep_resp.rt,rep_resp.started,rep_resp.stopped,task_response.keys,task_response.corr,task_response.rt,feedbImage_2.started,feedbImage_2.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],space,1.0511709579877788,,,,,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
stimuli/slide1.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.1817127120011719,6.769311153009767,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
stimuli/slide2.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.18163966199790593,6.993737825003336,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
stimuli/slide3.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.15999568499682937,7.217993465004838,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
stimuli/slide4.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.15989637600432616,7.4204693640058395,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
stimuli/slide5.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.19546770199667662,7.620203441008925,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
stimuli/slide6.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.12881378601014148,7.855608013996971,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.994538954008021,None,8.252190761006204,None,space,0.5846662480034865,8.252190761006204,None,,,,,,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,0.7849113959964598,12.044145059000584,12.543244201006019,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,2,0,0.4493595960084349,16.093181709002238,16.601034356004675,,,,,,,,,,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/spotlight.jpg,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,n,0.9834705959947314,17.32100509099837,None,2,0,0.6177115509926807,22.694560909003485,23.196863079007016,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/peppermill02b.jpg,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.6511100920033641,26.92447655000433,27.421668638009578,551,,2021_Dez_03_1745,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.8462386158853,
