images,key,illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,image.started,image.stopped,text_3.started,text_3.stopped,blank.started,blank.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
slide 1.jpg,'space’,0,0,0,0,7.101382442982867,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
slide 2.jpg,'l’,0,1,1,1,7.728615555999568,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
slide 3.jpg,'l’,0,2,2,2,8.012603473995114,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
slide 4.jpg,'l’,0,3,3,3,8.168311601999449,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
slide 5.jpg,'d’,0,4,4,4,8.348386110010324,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
slide 6.jpg,'l’,0,5,5,5,8.464187053992646,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
slide 7.jpg,'space’,0,6,6,6,8.622539090982173,None,,,,,1,,2021_Nov_25_1251,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.909796567335185,
,,,,,,,,9.055649388988968,None,10.362020954984473,None,,,,,,,
