instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.569,1,0.323,0,22,22,28,1,stimuli/objects/microphone01.jpg,new,right,29,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.78,4,0.154,0,23,23,14,1,stimuli/objects/potatomasher03b.jpg,old,left,15,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.334,1,0.296,0,24,24,73,1,stimuli/objects/oven.jpg,old,left,74,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.802,4,0.313,0,25,25,69,1,stimuli/objects/securitycamera.jpg,old,left,70,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.184,1,0.329,0,26,26,83,1,stimuli/objects/strainer01b.jpg,new,right,84,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.785,4,0.5,0,27,27,84,1,stimuli/objects/cookingpot.jpg,old,left,85,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.83,4,0.498,0,28,28,86,1,stimuli/objects/camera01a.jpg,old,left,87,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.081,1,0.211,0,29,29,18,1,stimuli/objects/fanblades.jpg,new,right,19,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.371,1,0.148,0,30,30,17,1,stimuli/objects/jack.jpg,old,left,18,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.829,4,0.967,0,31,31,4,1,stimuli/objects/peeler01.jpg,old,left,5,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.04,3,0.759,0,32,32,8,1,stimuli/objects/cuttingpliers02.jpg,old,left,9,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.862,4,0.291,0,33,33,45,1,stimuli/objects/cameracase01a.jpg,old,left,46,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.872,1,0.774,0,34,34,75,1,stimuli/objects/styrofoamcup.jpg,new,right,76,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.953,2,0.352,0,35,35,25,1,stimuli/objects/espressomachine.jpg,new,right,26,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.11,1,0.553,0,36,36,64,1,stimuli/objects/usbcable01a.jpg,new,right,65,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.916,4,0.128,0,37,37,76,1,stimuli/objects/taperecorder.jpg,old,left,77,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.347,4,1.082,0,38,38,46,1,stimuli/objects/lawnmower.jpg,old,left,47,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.49,2,0.349,0,39,39,38,1,stimuli/objects/bowl02a.jpg,old,left,39,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.802,4,0.001,0,40,40,68,1,stimuli/objects/icepack.jpg,old,left,69,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.731,4,0.106,0,41,41,52,1,stimuli/objects/swissarmyknife01a.jpg,old,left,53,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.915,4,0.246,0,42,42,7,1,stimuli/objects/whisk.jpg,old,left,8,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.901,1,0.693,0,43,43,41,1,stimuli/objects/electricoutlet.jpg,old,left,42,,,,,,,,
