instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0883,3,1.4762,0,35,35,20,1,stimuli/objects/whisk.jpg,Kitchen & utensil,old,left,21,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,4.4466,2,1.0929,0,36,36,81,1,stimuli/objects/toyhockeystick01.jpg,Outdoor activity & sport item,old,left,82,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.1464,3,1.0673,0,37,37,25,1,stimuli/objects/faxmachine.jpg,Electronic device & accessory,old,left,26,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0805,3,0.4182,0,38,38,46,1,stimuli/objects/footballhelmet.jpg,Outdoor activity & sport item,new,right,47,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.1729,3,0.3531,0,39,39,64,1,stimuli/objects/telephone01b.jpg,Electronic device & accessory,old,left,65,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.2073,2,0.8548,0,40,40,13,1,stimuli/objects/cakeplatter.jpg,Kitchen & utensil,old,left,14,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0888,3,0.4888,0,41,41,38,1,stimuli/objects/caulking.jpg,Hand labour tool & accessory,old,left,39,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.9607,3,0.4,0,42,42,82,1,stimuli/objects/hockeygoaliepad.jpg,Outdoor activity & sport item,new,right,83,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.0197,4,0.7014,0,43,43,31,1,stimuli/objects/filmnegative.jpg,Electronic device & accessory,old,left,32,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0803,4,0.5187,0,44,44,9,1,stimuli/objects/aluminiumfoil.jpg,Kitchen & utensil,new,right,10,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,5.1091,2,1.4014,0,45,45,21,1,stimuli/objects/avcable.jpg,Electronic device & accessory,old,left,22,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.3535,3,1.8994,0,46,46,17,1,stimuli/objects/ethernetcable02.jpg,Electronic device & accessory,new,right,18,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.7417,2,0.2587,0,47,47,34,1,stimuli/objects/knife03.jpg,Kitchen & utensil,old,left,35,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.2978,4,1.0154,0,48,48,12,1,stimuli/objects/fanblades.jpg,Electronic device & accessory,new,right,13,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.9672,3,1.0078,0,49,49,3,1,stimuli/objects/charcoalbarbecue.jpg,Outdoor activity & sport item,old,left,4,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0876,4,0.3187,0,50,50,89,1,stimuli/objects/minifridge.jpg,Kitchen & utensil,old,left,90,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.2964,4,0.3221,0,51,51,50,1,stimuli/objects/hockeygoaliemask.jpg,Outdoor activity & sport item,new,right,51,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0981,3,0.3554,0,52,52,78,1,stimuli/objects/wateringcan.jpg,Hand labour tool & accessory,old,left,79,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.8961,3,0.3178,0,53,53,76,1,stimuli/objects/blender.jpg,Kitchen & utensil,new,right,77,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.836,3,0.1713,0,54,54,8,1,stimuli/objects/cameracase01a.jpg,Electronic device & accessory,old,left,9,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.2572,2,0.3688,0,55,55,32,1,stimuli/objects/thermos.jpg,Kitchen & utensil,new,right,33,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.2368,3,2.9921,0,56,56,0,1,stimuli/objects/ipod.jpg,Electronic device & accessory,old,left,1,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.1569,3,0.4319,0,57,57,55,1,stimuli/objects/fonduefork01.jpg,Kitchen & utensil,old,left,56,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.3069,2,1.2036,0,58,58,2,1,stimuli/objects/martiniglass01b.jpg,Kitchen & utensil,old,left,3,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,5.0471,3,1.2015,0,59,59,77,1,stimuli/objects/alarmclock01.jpg,Electronic device & accessory,new,right,78,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.9673,3,0.7091,0,60,60,60,1,stimuli/objects/payphone.jpg,Electronic device & accessory,old,left,61,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,0.7435,3,0.3138,0,61,61,6,1,stimuli/objects/stovetop.jpg,Kitchen & utensil,new,right,7,,,,,,,,
