images,key,illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,image.started,image.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
slide 1.jpg,'space’,0,0,0,0,6.475600638019387,None,1,,2021_Nov_25_1245,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.731664700604064,
slide 2.jpg,'l’,0,1,1,1,11.972214095992967,None,1,,2021_Nov_25_1245,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.731664700604064,
slide 3.jpg,'l’,0,2,2,2,14.09199258100125,None,1,,2021_Nov_25_1245,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.731664700604064,
slide 4.jpg,'l’,0,3,3,3,15.066094298003009,None,1,,2021_Nov_25_1245,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.731664700604064,
