"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
29,NA,"[""l""]",1,"[5.124800000071531]","bless","l",0,"NoHit"
29,NA,"[""l""]",1,"[3.3245000000000005]","nature","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.7268000000715347]","carefree","l",0,"NoHit"
29,NA,"[""d""]",1,"[0.9379000000953681]","nature","d",1,"Hit"
29,NA,"[""l""]",1,"[1.2871000000238553]","easygoing","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.1002000000476926]","pillow","l",0,"NoHit"
29,NA,"[""d""]",1,"[0.9106999999284824]","easygoing","d",1,"Hit"
29,NA,"[""l""]",1,"[1.2833999999761545]","gentle","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.1718000000715278]","square","l",0,"NoHit"
29,NA,"[""d""]",1,"[0.9896000000238416]","gentle","d",1,"Hit"
29,NA,"[""l""]",1,"[2.3135000000000048]","carefree","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.9466000000238353]","tool","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.2357000000476717]","bored","l",0,"NoHit"
29,NA,"[""d""]",1,"[1.3190000000000168]","tool","d",1,"Hit"
29,NA,"[""l""]",1,"[1.3068999999761672]","home","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.3360000000000127]","immature","l",0,"NoHit"
29,NA,"[""d""]",1,"[1.1741000000238273]","home","d",1,"Hit"
29,NA,"[""l""]",1,"[0.965899999976159]","fault","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.2911999999284944]","pillow","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.154599999904633]","violin","l",0,"NoHit"
29,NA,"[""l""]",0,"[1.3046000000238394]","violin","d",1,"Hit"
29,NA,"[""l""]",1,"[1.2123999999761566]","tense","l",0,"NoHit"
29,NA,"[""l""]",1,"[2.5064999999999884]","confident","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.1086000000238414]","bomb","l",0,"NoHit"
29,NA,"[""d""]",1,"[2.2271000000238246]","confident","d",1,"Hit"
29,NA,"[""l""]",1,"[0.9782999999522985]","butterfly","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.483000000000004]","cheer","l",0,"NoHit"
29,NA,"[""l""]",1,"[1.3683000000715424]","street","l",0,"NoHit"
29,NA,"[""d""]",1,"[1.606799999952301]","cheer","d",1,"Hit"
29,NA,"[""l""]",1,"[0.967099999904633]","taxi","l",0,"NoHit"
29,NA,"[""l""]",1,"[2.044899999976167]","adventure","l",0,"NoHit"
