"type","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","img","corr_ans_num","task_response.keys","task_response.corr","resp_cat","cumAcc","condition"
0,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Electronic device & accessory","stimuli/objects/chandelier.jpg",4,1,0,"stimuli/Hand labour tool & accessory.png",0.375,0
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/drillbit03a.jpg",1,2,0,"stimuli/Outdoor activity & sport item.png",0.37037037037037,0
0,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/solderingiron.jpg",1,3,0,"stimuli/Outdoor activity & sport item.png",0.365853658536585,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/lifesaver.jpg",4,4,1,"stimuli/Outdoor activity & sport item.png",0.373493975903614,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/propanetank01.jpg",4,4,1,"stimuli/Outdoor activity & sport item.png",0.380952380952381,1
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/cuttingpliers02.jpg",1,1,1,"stimuli/Hand labour tool & accessory.png",0.388235294117647,0
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/skigoggles01.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.395348837209302,1
0,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/securitycamera.jpg",3,1,0,"stimuli/Hand labour tool & accessory.png",0.390804597701149,0
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/pylon01.jpg",2,3,0,"stimuli/Outdoor activity & sport item.png",0.386363636363636,0
0,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Kitchen & utensil","stimuli/objects/pot01.jpg",3,1,0,"stimuli/Hand labour tool & accessory.png",0.382022471910112,0
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/surfboard.jpg",4,4,1,"stimuli/Outdoor activity & sport item.png",0.388888888888889,1
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/cooler01.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.395604395604396,1
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/adjustablewrench01b.jpg",2,2,1,"stimuli/Hand labour tool & accessory.png",0.402173913043478,0
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/cclamp.jpg",4,4,1,"stimuli/Hand labour tool & accessory.png",0.408602150537634,0
0,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/videocamera01a.jpg",1,2,0,"stimuli/Hand labour tool & accessory.png",0.404255319148936,0
0,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Electronic device & accessory","stimuli/objects/walkman.jpg",1,2,0,"stimuli/Outdoor activity & sport item.png",0.4,0
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/wheel01.jpg",4,3,0,"stimuli/Outdoor activity & sport item.png",0.395833333333333,0
0,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Kitchen & utensil","stimuli/objects/cleaver01.jpg",4,1,0,"stimuli/Outdoor activity & sport item.png",0.391752577319588,1
0,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/spotlight.jpg",1,2,0,"stimuli/Hand labour tool & accessory.png",0.387755102040816,0
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/badmintonracket.jpg",4,3,0,"stimuli/Hand labour tool & accessory.png",0.383838383838384,1
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/bucket02.jpg",4,3,0,"stimuli/Outdoor activity & sport item.png",0.38,0
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/stepladder.jpg",3,2,0,"stimuli/Outdoor activity & sport item.png",0.376237623762376,0
0,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Kitchen & utensil","stimuli/objects/kitchenscale01a.jpg",2,4,0,"stimuli/Hand labour tool & accessory.png",0.372549019607843,1
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/metalscissors.jpg",1,2,0,"stimuli/Outdoor activity & sport item.png",0.368932038834951,0
0,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/coffeemachine.jpg",3,4,0,"stimuli/Outdoor activity & sport item.png",0.365384615384615,1
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/mitresaw.jpg",2,2,1,"stimuli/Hand labour tool & accessory.png",0.371428571428571,0
0,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Kitchen & utensil","stimuli/objects/grater01a.jpg",4,1,0,"stimuli/Hand labour tool & accessory.png",0.367924528301887,0
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/leafblower01.jpg",3,3,1,"stimuli/Hand labour tool & accessory.png",0.373831775700935,0
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/footballhelmet.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.37962962962963,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/baseball01a.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.385321100917431,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/bicycle.jpg",3,2,0,"stimuli/Electronic device & accessory.png",0.381818181818182,1
0,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/mallet01b.jpg",1,3,0,"stimuli/Outdoor activity & sport item.png",0.378378378378378,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/exercisebike.jpg",4,3,0,"stimuli/Hand labour tool & accessory.png",0.375,1
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/backpack01a.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.380530973451327,1
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/nailgun.jpg",2,2,1,"stimuli/Hand labour tool & accessory.png",0.385964912280702,0
0,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Kitchen & utensil","stimuli/objects/icebucket.jpg",1,2,0,"stimuli/Outdoor activity & sport item.png",0.382608695652174,0
0,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/handgripper.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.387931034482759,0
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/gastank.jpg",3,1,0,"stimuli/Outdoor activity & sport item.png",0.384615384615385,0
0,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Kitchen & utensil","stimuli/objects/teapot.jpg",1,4,0,"stimuli/Outdoor activity & sport item.png",0.38135593220339,0
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/hoe.jpg",1,NA,0,NA,0.378151260504202,0
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/squeegee01b.jpg",2,1,0,"stimuli/Outdoor activity & sport item.png",0.375,0
