"type","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","img","corr_ans_num","task_response.keys","task_response.corr","resp_cat","cumAcc","condition"
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/jumpingjack.jpg",4,3,0,"stimuli/Electronic device & accessory.png",0.363636363636364,0
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/beachumbrella01.jpg",4,4,1,"stimuli/Outdoor activity & sport item.png",0.416666666666667,1
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/metalbrush.jpg",4,3,0,"stimuli/Electronic device & accessory.png",0.384615384615385,0
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/gavel.jpg",4,1,0,"stimuli/Outdoor activity & sport item.png",0.357142857142857,0
0,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/shopvac.jpg",3,3,1,"stimuli/Hand labour tool & accessory.png",0.4,1
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/file.jpg",3,2,0,"stimuli/Outdoor activity & sport item.png",0.375,0
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/gardenshears01a.jpg",4,NA,0,NA,0.352941176470588,0
0,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/avcable.jpg",3,3,1,"stimuli/Electronic device & accessory.png",0.388888888888889,1
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/bowrake.jpg",3,4,0,"stimuli/Outdoor activity & sport item.png",0.368421052631579,0
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/bikepump01.jpg",3,4,0,"stimuli/Electronic device & accessory.png",0.35,1
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/golfball.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.380952380952381,1
0,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/caulking.jpg",4,2,0,"stimuli/Outdoor activity & sport item.png",0.363636363636364,1
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory","stimuli/objects/staplegun.jpg",4,3,0,"stimuli/Outdoor activity & sport item.png",0.347826086956522,0
