"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
11,NA,"left",4.3394,4,4.3994,"stimuli/objects/peppermill02b.jpg","old","left"
11,NA,"left",4.2057,4,2.2994,"stimuli/objects/muffintray01.jpg","old","left"
11,NA,"left",3.7419,4,1.1016,"stimuli/objects/contactlens.jpg","new","right"
11,NA,"left",2.6888,4,1.2944,"stimuli/objects/thermos.jpg","new","right"
11,NA,"left",1.6145,4,1.4376,"stimuli/objects/cakeplatter.jpg","old","left"
11,NA,"left",1.2126,4,0.9052,"stimuli/objects/fork03c.jpg","old","left"
11,NA,"left",1.8692,4,2.7068,"stimuli/objects/nutcracker01.jpg","new","right"
11,NA,"left",1.145,4,2.7121,"stimuli/objects/umbrella04.jpg","old","left"
11,NA,"left",1.1685,4,1.9092,"stimuli/objects/beermug01a.jpg","old","left"
11,NA,"left",1.8433,4,1.7073,"stimuli/objects/djmixer02.jpg","old","left"
11,NA,"left",1.1364,4,0.6846,"stimuli/objects/cleaver01.jpg","old","left"
11,NA,"left",1.5761,4,0.6872,"stimuli/objects/spotlight.jpg","old","left"
11,NA,"left",1.0299,4,0.45,"stimuli/objects/martiniglass01b.jpg","old","left"
11,NA,"left",0.8386,4,0.969,"stimuli/objects/knife03.jpg","old","left"
11,NA,"left",1.0848,4,0.3503,"stimuli/objects/toasteroven.jpg","old","left"
11,NA,"left",0.7465,4,0.5744,"stimuli/objects/chocolatefonduedish.jpg","old","left"
11,NA,"left",1.2454,4,0.5871,"stimuli/objects/studiolight.jpg","new","right"
11,NA,"left",0.7992,4,0.4501,"stimuli/objects/servingspoon01.jpg","old","left"
11,NA,"left",0.6707,4,0.2844,"stimuli/objects/whisk.jpg","old","left"
11,NA,"left",0.7366,4,0.4246,"stimuli/objects/telephone01b.jpg","old","left"
11,NA,"left",0.697,4,0.2746,"stimuli/objects/knifesharpener.jpg","old","left"
11,NA,"right",3.4694,4,3.2702,"stimuli/objects/cassettetape01a.jpg","new","right"
11,NA,"right",1.8287,4,1.9282,"stimuli/objects/tablesaw.jpg","old","left"
11,NA,"left",1.6365,4,1.1536,"stimuli/objects/screwdriver04b.jpg","new","right"
