"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
11,NA,"[""l""]",1,"[1.9132000000476523]","bless","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1330999999046867]","nature","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8822999999522949]","carefree","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.289600000143082]","nature","d",1,"Hit"
11,NA,"[""l""]",1,"[1.0387999999523458]","easygoing","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9158000001907567]","pillow","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.3427999999523195]","easygoing","d",1,"Hit"
11,NA,"[""l""]",1,"[0.9422999999522972]","gentle","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.156499999999994]","square","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.9245000000000232]","gentle","d",1,"Hit"
11,NA,"[""d""]",0,"[2.0321999998092792]","carefree","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8941000001430552]","tool","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.2157000000476614]","bored","l",0,"NoHit"
11,NA,"[""d""]",1,"[1.1157999999522872]","tool","d",1,"Hit"
11,NA,"[""l""]",1,"[0.9057000000476592]","home","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.552500000000009]","immature","l",0,"NoHit"
11,NA,"[""d""]",1,"[1.1825000000000045]","home","d",1,"Hit"
11,NA,"[""l""]",1,"[0.8155000000000427]","fault","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0988000001907494]","pillow","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9903000001907571]","violin","l",0,"NoHit"
11,NA,"[""d""]",1,"[1.0362000000476996]","violin","d",1,"Hit"
11,NA,"[""l""]",1,"[0.8823999998569434]","tense","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.5863999998569511]","confident","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.087500000000034]","bomb","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.1767999999523227]","confident","d",1,"Hit"
11,NA,"[""l""]",1,"[1.1330999999046298]","butterfly","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1322000000476464]","cheer","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.015299999952333]","street","l",0,"NoHit"
11,NA,"[""d""]",1,"[1.0263999998569489]","cheer","d",1,"Hit"
11,NA,"[""l""]",1,"[0.9161999998092369]","taxi","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1825999999045962]","adventure","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0828999998569202]","crutch","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.0495000000000232]","adventure","d",1,"Hit"
11,NA,"[""l""]",1,"[1.5065999999046653]","vest","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0347999999523267]","taxi","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.5509999999999877]","brave","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.2330999999046526]","square","l",0,"NoHit"
11,NA,"[""l""]",0,"[0.9770000000000323]","brave","d",1,"Hit"
11,NA,"[""l""]",1,"[1.2242999999523363]","unhappy","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0165000000000077]","deformed","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.152200000047685]","rifle","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.182599999904653]","deformed","d",1,"Hit"
11,NA,"[""l""]",1,"[1.232500000000016]","tense","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1025000000000205]","inferior","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1915999999046107]","exercise","l",0,"NoHit"
11,NA,"[""l""]",0,"[0.9594999999999914]","inferior","d",1,"Hit"
11,NA,"[""l""]",1,"[1.4857999999522917]","crutch","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0327999999523172]","obesity","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1825000000000045]","bless","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.1597999999523267]","obesity","d",1,"Hit"
11,NA,"[""l""]",1,"[1.1662999999523436]","pistol","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0822999999522835]","bored","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0275999999046235]","pity","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9657999999523099]","politeness","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.0824000000953333]","pity","d",1,"Hit"
11,NA,"[""l""]",1,"[1.1426000001430339]","beautiful","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8425999999046212]","street","l",0,"NoHit"
11,NA,"[""d""]",1,"[0.7230999999046048]","beautiful","d",1,"Hit"
11,NA,"[""l""]",1,"[0.8907000000477296]","aroused","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1079000000954125]","demon","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.0728999998569293]","aroused","d",1,"Hit"
11,NA,"[""l""]",1,"[0.9976999998092424]","cash","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.208799999952305]","immature","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.1158000001907453]","cheer","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.8915000000000077]","cheer","d",1,"Hit"
11,NA,"[""l""]",1,"[1.0498000001907144]","controlling","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9657000000477183]","messy","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8990000000000009]","cliff","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.944500000000005]","butterfly","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.0775000000000432]","cliff","d",1,"Hit"
11,NA,"[""l""]",1,"[1.1057999999522963]","erotic","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9194000000953793]","vest","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0185000000000173]","dazzle","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8824999999999932]","disloyal","l",0,"NoHit"
11,NA,"[""d""]",1,"[0.7385999999046362]","dazzle","d",1,"Hit"
11,NA,"[""l""]",1,"[0.8159000000953824]","defiant","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0989999999999895]","fault","l",0,"NoHit"
11,NA,"[""d""]",1,"[0.8387999999523572]","defiant","d",1,"Hit"
11,NA,"[""l""]",1,"[0.7322999999523176]","shotgun","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9400999999046462]","revolt","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.015599999904623]","unhappy","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.190999999999974]","revolt","d",1,"Hit"
11,NA,"[""l""]",1,"[0.882000000000005]","car","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9157999999522985]","fight","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8685999999046317]","obsession","l",0,"NoHit"
11,NA,"[""l""]",0,"[1.6689000000953342]","obsession","d",1,"Hit"
11,NA,"[""l""]",1,"[1.1691999998092797]","messy","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8399000000953833]","anger","l",0,"NoHit"
11,NA,"[""l""]",1,"[1.0155999999046799]","exercise","l",0,"NoHit"
11,NA,"[""d""]",1,"[1.0579999999999927]","anger","d",1,"Hit"
11,NA,"[""l""]",1,"[0.6490000000000009]","suspicious","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.9837000000476905]","politeness","l",0,"NoHit"
11,NA,"[""d""]",1,"[1.0509000000953392]","suspicious","d",1,"Hit"
11,NA,"[""l""]",1,"[0.6372999999523472]","shark","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8601000001430634]","detest","l",0,"NoHit"
11,NA,"[""l""]",0,"[0.9524999999999864]","shark","d",1,"Hit"
11,NA,"[""l""]",1,"[0.8888999998569602]","cash","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8889000000953615]","cancer","l",0,"NoHit"
11,NA,"[""l""]",1,"[0.8338000001907631]","pistol","l",0,"NoHit"
11,NA,"[""l""]",0,"[0.8600000000000136]","cancer","d",1,"Hit"
