"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
22,990214,"left",2.159,4,2.132,"stimuli/objects/surfboard.jpg","old","left"
22,990214,"right",2.931,1,1.521,"stimuli/objects/alarmclock01.jpg","new","right"
22,990214,"left",1.575,3,0.271,"stimuli/objects/handmixer01d.jpg","old","left"
22,990214,"left",1.098,4,0.129,"stimuli/objects/swimgoggles.jpg","old","left"
22,990214,"left",3.142,1,0.329,"stimuli/objects/gps.jpg","old","left"
22,990214,"left",1.158,4,0.002,"stimuli/objects/ipod.jpg","old","left"
22,990214,"left",1.958,2,0.323,"stimuli/objects/snowshovel.jpg","old","left"
22,990214,"left",2.409,2,0.511,"stimuli/objects/golfbag.jpg","old","left"
22,990214,"left",1.276,4,0.599,"stimuli/objects/spotlight.jpg","old","left"
22,990214,"right",2.304,1,0.333,"stimuli/objects/bottleopener01.jpg","new","right"
22,990214,"left",1.131,4,0.329,"stimuli/objects/photocopier.jpg","old","left"
22,990214,"left",2.018,2,0.457,"stimuli/objects/foodprocessor.jpg","new","right"
22,990214,"left",1.235,4,0.359,"stimuli/objects/expansioncard.jpg","old","left"
22,990214,"right",1.569,1,0.176,"stimuli/objects/tripod01.jpg","new","right"
22,990214,"right",2.809,1,0.709,"stimuli/objects/wafflemaker.jpg","new","right"
22,990214,"left",1.253,4,0.164,"stimuli/objects/spicerack.jpg","old","left"
22,990214,"left",1.45,4,0.13,"stimuli/objects/tupperware03a.jpg","old","left"
22,990214,"left",0.935,3,0.778,"stimuli/objects/phonejack.jpg","old","left"
22,990214,"left",0.737,4,0.355,"stimuli/objects/breadknife.jpg","old","left"
22,990214,"right",2.655,1,0.328,"stimuli/objects/icecubetray01a.jpg","new","right"
22,990214,"right",1.136,1,0.393,"stimuli/objects/megaphone.jpg","new","right"
22,990214,"left",0.998,4,1.253,"stimuli/objects/charcoalbarbecue.jpg","old","left"
22,990214,"right",1.569,1,0.323,"stimuli/objects/microphone01.jpg","new","right"
22,990214,"left",0.78,4,0.154,"stimuli/objects/potatomasher03b.jpg","old","left"
22,990214,"right",2.334,1,0.296,"stimuli/objects/oven.jpg","old","left"
22,990214,"left",0.802,4,0.313,"stimuli/objects/securitycamera.jpg","old","left"
22,990214,"left",1.184,1,0.329,"stimuli/objects/strainer01b.jpg","new","right"
22,990214,"left",0.785,4,0.5,"stimuli/objects/cookingpot.jpg","old","left"
22,990214,"left",0.83,4,0.498,"stimuli/objects/camera01a.jpg","old","left"
22,990214,"right",1.081,1,0.211,"stimuli/objects/fanblades.jpg","new","right"
22,990214,"right",1.371,1,0.148,"stimuli/objects/jack.jpg","old","left"
22,990214,"left",0.829,4,0.967,"stimuli/objects/peeler01.jpg","old","left"
22,990214,"left",1.04,3,0.759,"stimuli/objects/cuttingpliers02.jpg","old","left"
22,990214,"left",0.862,4,0.291,"stimuli/objects/cameracase01a.jpg","old","left"
22,990214,"left",0.872,1,0.774,"stimuli/objects/styrofoamcup.jpg","new","right"
22,990214,"right",2.953,2,0.352,"stimuli/objects/espressomachine.jpg","new","right"
22,990214,"left",1.11,1,0.553,"stimuli/objects/usbcable01a.jpg","new","right"
22,990214,"left",0.916,4,0.128,"stimuli/objects/taperecorder.jpg","old","left"
22,990214,"left",3.347,4,1.082,"stimuli/objects/lawnmower.jpg","old","left"
22,990214,"left",1.49,2,0.349,"stimuli/objects/bowl02a.jpg","old","left"
22,990214,"left",0.802,4,0.001,"stimuli/objects/icepack.jpg","old","left"
22,990214,"left",0.731,4,0.106,"stimuli/objects/swissarmyknife01a.jpg","old","left"
22,990214,"left",0.915,4,0.246,"stimuli/objects/whisk.jpg","old","left"
22,990214,"left",1.901,1,0.693,"stimuli/objects/electricoutlet.jpg","old","left"
22,990214,"left",0.723,4,0.297,"stimuli/objects/dishrack.jpg","old","left"
22,990214,"right",0.962,1,0.404,"stimuli/objects/fan.jpg","new","right"
22,990214,"left",1.779,2,0.363,"stimuli/objects/cellphone.jpg","new","right"
22,990214,"right",1.788,1,0.347,"stimuli/objects/garlicpress02a.jpg","new","right"
22,990214,"left",1.362,3,0.667,"stimuli/objects/icebucket.jpg","old","left"
22,990214,"left",1.434,3,0.508,"stimuli/objects/cashregister01.jpg","old","left"
22,990214,"left",3.43,3,0.938,"stimuli/objects/podium.jpg","old","left"
22,990214,"right",1.251,1,0.535,"stimuli/objects/pitcher02b.jpg","old","left"
22,990214,"right",1.623,1,0.242,"stimuli/objects/cork02.jpg","new","right"
22,990214,"right",1.286,1,0.844,"stimuli/objects/toasteroven.jpg","old","left"
22,990214,"right",0.808,1,0.513,"stimuli/objects/footballhelmet.jpg","new","right"
22,990214,"left",0.807,4,0.543,"stimuli/objects/videocamera01a.jpg","old","left"
22,990214,"left",1.281,3,0.461,"stimuli/objects/airconditioner.jpg","new","right"
22,990214,"right",1.074,1,0.448,"stimuli/objects/hockeygoaliemask.jpg","new","right"
22,990214,"left",1.87,2,0.34,"stimuli/objects/fonduefork01.jpg","old","left"
22,990214,"left",0.789,4,0.318,"stimuli/objects/remotecontrol04.jpg","old","left"
22,990214,"right",1.196,1,0.34,"stimuli/objects/painttray.jpg","old","left"
22,990214,"right",1.074,1,0.325,"stimuli/objects/outletadapter.jpg","new","right"
22,990214,"right",1.213,1,0.326,"stimuli/objects/webcam.jpg","new","right"
22,990214,"left",0.852,3,0.373,"stimuli/objects/walkietalkie.jpg","old","left"
22,990214,"left",1.382,4,0.307,"stimuli/objects/carantenna.jpg","old","left"
22,990214,"left",6.259,3,0.248,"stimuli/objects/alarmsystem.jpg","old","left"
22,990214,"right",1.055,1,0.316,"stimuli/objects/wheelbarrow01.jpg","new","right"
22,990214,"left",0.848,2,0.16,"stimuli/objects/avcable.jpg","old","left"
