"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
26,378308,"[""l""]",1,"[1.0026999999992654]","shotgun","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.7369000000003609]","revolt","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.2515999999996268]","unhappy","l",0,"NoHit"
26,378308,"[""d""]",1,"[1.5190999999996109]","revolt","d",1,"Hit"
26,378308,"[""l""]",1,"[1.1837000000001865]","car","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.1529999999999916]","fight","l",0,"NoHit"
26,378308,"[""l""]",1,"[2.735799999999813]","obsession","l",0,"NoHit"
26,378308,"[""l""]",0,"[1.2434000000003778]","obsession","d",1,"Hit"
26,378308,"[""l""]",1,"[2.4429999999999836]","messy","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.9397999999998206]","anger","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.1060999999996284]","exercise","l",0,"NoHit"
26,378308,"[""d""]",1,"[0.9555000000000007]","anger","d",1,"Hit"
26,378308,"[""l""]",1,"[0.7034000000003573]","suspicious","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.6116999999992458]","politeness","l",0,"NoHit"
26,378308,"[""l""]",0,"[0.7902000000001976]","suspicious","d",1,"Hit"
26,378308,"[""l""]",1,"[1.171099999999626]","shark","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.7524999999999977]","detest","l",0,"NoHit"
26,378308,"[""l""]",0,"[1.4335000000000093]","shark","d",1,"Hit"
26,378308,"[""l""]",1,"[0.672600000000557]","cash","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.6392000000001872]","cancer","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.47940000000036775]","pistol","l",0,"NoHit"
26,378308,"[""d""]",1,"[0.9010000000000105]","cancer","d",1,"Hit"
