"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
12,NA,"[""l""]",1,"[1.222200000286108]","shotgun","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.3027999997138977]","revolt","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.8654999999999973]","unhappy","l",0,"NoHit"
12,NA,"[""l""]",0,"[2.2709000000953665]","revolt","d",1,"Hit"
12,NA,"[""l""]",1,"[0.9245999999046433]","car","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.8897000002860977]","fight","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.8437999997139229]","obsession","l",0,"NoHit"
12,NA,"[""l""]",0,"[2.033599999904652]","obsession","d",1,"Hit"
12,NA,"[""l""]",1,"[1.100300000190714]","messy","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.755199999809264]","anger","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.0717000002860857]","exercise","l",0,"NoHit"
12,NA,"[""l""]",0,"[1.061000000000007]","anger","d",1,"Hit"
12,NA,"[""l""]",1,"[0.9343000001907171]","suspicious","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.3865999999046323]","politeness","l",0,"NoHit"
12,NA,"[""d""]",1,"[0.833199999809267]","suspicious","d",1,"Hit"
12,NA,"[""l""]",1,"[0.9419000000953872]","shark","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.9857000002861014]","detest","l",0,"NoHit"
12,NA,"[""d""]",1,"[0.7023000001907462]","shark","d",1,"Hit"
12,NA,"[""l""]",1,"[0.6699000000953674]","cash","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.6585000000000036]","cancer","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.8906000003814825]","pistol","l",0,"NoHit"
12,NA,"[""d""]",1,"[1.050200000286111]","cancer","d",1,"Hit"
