"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
12,NA,"right",2.685,2,2.8582,"stimuli/objects/martiniglass01b.jpg","old","left"
12,NA,"left",3.0651,4,1.6895,"stimuli/objects/oven.jpg","old","left"
12,NA,"right",3.9192,2,1.8033,"stimuli/objects/walkietalkie.jpg","old","left"
12,NA,"right",4.9228,2,2.0766,"stimuli/objects/computerkeyboard02.jpg","old","left"
12,NA,"right",1.7846,2,1.501,"stimuli/objects/usbkey.jpg","old","left"
12,NA,"right",1.3837,4,1.2108,"stimuli/objects/grill.jpg","old","left"
12,NA,"right",1.4752,4,0.0515,"stimuli/objects/extensioncord.jpg","old","left"
12,NA,"right",1.6826,2,1.7136,"stimuli/objects/wire.jpg","new","right"
12,NA,"right",1.2885,3,1.9869,"stimuli/objects/wiicontroller.jpg","old","left"
12,NA,"right",1.1764,2,1.5532,"stimuli/objects/tablesaw.jpg","old","left"
12,NA,"right",1.4694,2,1.1769,"stimuli/objects/hockeygoaliemask.jpg","new","right"
12,NA,"left",2.559,4,1.4936,"stimuli/objects/whisk.jpg","old","left"
12,NA,"left",1.5892,3,1.5567,"stimuli/objects/servingspoon01.jpg","old","left"
12,NA,"right",1.174,3,3.6465,"stimuli/objects/freezer02.jpg","old","left"
12,NA,"right",1.0151,3,2.0696,"stimuli/objects/filmnegative.jpg","old","left"
12,NA,"left",1.8436,3,1.5176,"stimuli/objects/battery02b.jpg","old","left"
12,NA,"right",1.2039,2,1.3616,"stimuli/objects/corkscrew03a.jpg","new","right"
12,NA,"right",2.1403,2,1.1832,"stimuli/objects/painttray.jpg","old","left"
12,NA,"right",1.2251,2,2.3002,"stimuli/objects/ethernetcable02.jpg","new","right"
12,NA,"right",1.2045,3,1.3304,"stimuli/objects/speaker04.jpg","new","right"
12,NA,"right",1.019,3,1.5765,"stimuli/objects/desktopcomputer.jpg","old","left"
12,NA,"right",1.0991,2,1.8382,"stimuli/objects/coffeemaker.jpg","old","left"
12,NA,"right",1.211,3,1.158,"stimuli/objects/ipod.jpg","old","left"
12,NA,"right",2.1415,3,1.2526,"stimuli/objects/mitresaw.jpg","new","right"
12,NA,"right",1.0499,3,1.646,"stimuli/objects/toaster01.jpg","new","right"
12,NA,"right",1.0367,2,1.9969,"stimuli/objects/cuttingpliers02.jpg","old","left"
12,NA,"right",1.7882,3,1.425,"stimuli/objects/megaphone.jpg","new","right"
12,NA,"left",2.2962,3,1.4888,"stimuli/objects/securitycamera.jpg","old","left"
12,NA,"right",1.0881,3,1.3438,"stimuli/objects/antenna.jpg","new","right"
12,NA,"right",1.692,3,1.2945,"stimuli/objects/espressomachine.jpg","new","right"
12,NA,"right",1.5097,3,1.4932,"stimuli/objects/screwdriver04b.jpg","new","right"
12,NA,"right",1.5084,3,2.0996,"stimuli/objects/cuttingboard.jpg","old","left"
12,NA,"right",1.0976,3,0.8032,"stimuli/objects/tripod01.jpg","new","right"
12,NA,"left",1.5569,3,1.6499,"stimuli/objects/fryingpan02a.jpg","old","left"
12,NA,"right",0.957,3,1.3387,"stimuli/objects/wateringcan.jpg","old","left"
12,NA,"right",1.0148,2,2.1709,"stimuli/objects/carlighter02.jpg","old","left"
12,NA,"right",1.125,4,1.762,"stimuli/objects/thermos.jpg","new","right"
12,NA,"left",1.8253,2,1.5469,"stimuli/objects/swissarmyknife01a.jpg","old","left"
12,NA,"right",1.0007,3,1.2676,"stimuli/objects/toyhockeystick01.jpg","old","left"
12,NA,"right",3.5028,3,0.4696,"stimuli/objects/bottleopener01.jpg","new","right"
12,NA,"right",1.0858,3,1.7603,"stimuli/objects/walkman.jpg","old","left"
12,NA,"right",0.9215,3,1.1563,"stimuli/objects/usbcable01a.jpg","new","right"
12,NA,"right",1.0251,3,1.2442,"stimuli/objects/soundmixer.jpg","old","left"
12,NA,"left",1.4965,2,1.4324,"stimuli/objects/dishrack.jpg","old","left"
12,NA,"right",0.9298,3,1.4109,"stimuli/objects/crocodileclips.jpg","old","left"
12,NA,"left",2.0566,2,2.3994,"stimuli/objects/funnel.jpg","old","left"
12,NA,"right",0.9712,3,1.0658,"stimuli/objects/hourglass.jpg","new","right"
12,NA,"right",1.1547,3,1.304,"stimuli/objects/umbrella04.jpg","old","left"
12,NA,"left",3.3925,3,3.3908,"stimuli/objects/handmixer01d.jpg","old","left"
12,NA,"right",1.2332,4,1.2408,"stimuli/objects/squeegee01b.jpg","old","left"
12,NA,"right",1.077,4,2.7586,"stimuli/objects/fork03c.jpg","old","left"
12,NA,"right",0.9826,3,1.4463,"stimuli/objects/backpack01a.jpg","old","left"
12,NA,"right",0.8451,3,1.5318,"stimuli/objects/cameracase01a.jpg","old","left"
12,NA,"right",0.9177,4,1.5403,"stimuli/objects/nintendods.jpg","old","left"
12,NA,"left",2.7904,3,1.4832,"stimuli/objects/strainer01b.jpg","new","right"
12,NA,"right",1.1653,3,1.8949,"stimuli/objects/nutcracker01.jpg","new","right"
12,NA,"right",1.0411,3,1.7306,"stimuli/objects/pitcher02b.jpg","old","left"
12,NA,"right",1.0005,3,0.7176,"stimuli/objects/hockeypuck.jpg","new","right"
12,NA,"right",1.0168,4,3.0641,"stimuli/objects/chandelier.jpg","old","left"
12,NA,"right",1.1384,4,1.4614,"stimuli/objects/tupperware03a.jpg","old","left"
12,NA,"left",2.1231,3,1.8893,"stimuli/objects/bowl02a.jpg","old","left"
12,NA,"right",2.3224,2,2.0457,"stimuli/objects/contactlens.jpg","new","right"
12,NA,"right",1.2557,3,2.7824,"stimuli/objects/waterbottle03.jpg","old","left"
12,NA,"right",1.3109,1,1.8931,"stimuli/objects/breadknife.jpg","old","left"
12,NA,"left",2.3607,1,1.0091,"stimuli/objects/garlicpress02a.jpg","new","right"
12,NA,"right",1.0139,4,1.4057,"stimuli/objects/anchor.jpg","new","right"
12,NA,"right",1.2846,4,0.7154,"stimuli/objects/podium.jpg","old","left"
12,NA,"left",3.9674,2,1.3393,"stimuli/objects/foodprocessor.jpg","new","right"
