"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
7,NA,"right",1.5671,4,7.2571,"stimuli/objects/toyhockeystick01.jpg","old","left"
7,NA,"right",1.2074,4,1.1464,"stimuli/objects/pastaspoon.jpg","old","left"
7,NA,"right",0.8555,4,0.639,"stimuli/objects/securitycamera.jpg","old","left"
7,NA,"right",0.8452,4,0.5557,"stimuli/objects/scanner.jpg","old","left"
7,NA,"right",0.8456,4,0.3308,"stimuli/objects/alarmclock01.jpg","new","right"
7,NA,"right",0.7753,4,0.3827,"stimuli/objects/cleaver01.jpg","old","left"
7,NA,"right",0.6274,4,0.3653,"stimuli/objects/stovetop.jpg","new","right"
7,NA,"right",0.7803,4,0.3395,"stimuli/objects/tablesaw.jpg","old","left"
7,NA,"right",0.5988,4,0.2775,"stimuli/objects/electricoutlet.jpg","old","left"
7,NA,"right",1.9136,4,0.2939,"stimuli/objects/tripod01.jpg","new","right"
7,NA,"right",0.6631,4,0.3092,"stimuli/objects/heatpump.jpg","old","left"
7,NA,"right",0.5782,4,0.2995,"stimuli/objects/usbcable01a.jpg","new","right"
7,NA,"left",0.981,1,0.4085,"stimuli/objects/umbrella04.jpg","old","left"
7,NA,"right",1.4618,4,0.7274,"stimuli/objects/jug.jpg","new","right"
7,NA,"right",1.7612,4,0.3311,"stimuli/objects/microphone01.jpg","new","right"
7,NA,"right",1.0091,4,0.2923,"stimuli/objects/aluminiumfoil.jpg","new","right"
7,NA,"right",1.3589,4,0.2935,"stimuli/objects/cakeplatter.jpg","old","left"
7,NA,"right",5.3377,3,0.3593,"stimuli/objects/avcable.jpg","old","left"
7,NA,"right",0.9452,4,0.6106,"stimuli/objects/hockeygoaliepad.jpg","new","right"
7,NA,"right",0.7611,4,0.2651,"stimuli/objects/cameracase01a.jpg","old","left"
7,NA,"right",2.079,4,0.3596,"stimuli/objects/studiolight.jpg","new","right"
7,NA,"right",0.7595,4,0.4396,"stimuli/objects/ipod.jpg","old","left"
7,NA,"right",0.6154,4,0.21,"stimuli/objects/wateringcan.jpg","old","left"
7,NA,"right",0.6309,4,0.256,"stimuli/objects/charcoalbarbecue.jpg","old","left"
7,NA,"right",1.0653,4,0.1058,"stimuli/objects/telephone01b.jpg","old","left"
7,NA,"right",1.4977,4,0.0294,"stimuli/objects/espressomachine.jpg","new","right"
7,NA,"right",0.9935,4,0.1401,"stimuli/objects/coffeemachine.jpg","old","left"
7,NA,"right",0.7931,4,0.0793,"stimuli/objects/podium.jpg","old","left"
