"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
23,277170,"right",4.0292,3,4.4558,"stimuli/objects/outletadapter.jpg","new","right"
23,277170,"left",2.0296,1,1.6869,"stimuli/objects/usbcable01a.jpg","new","right"
23,277170,"left",1.2069,1,0.9351,"stimuli/objects/photocopier.jpg","old","left"
23,277170,"left",1.1414,1,0.8288,"stimuli/objects/cleaver01.jpg","old","left"
23,277170,"left",2.0955,1,0.8172,"stimuli/objects/beachumbrella01.jpg","old","left"
23,277170,"left",0.9264,1,1.0312,"stimuli/objects/usbkey.jpg","old","left"
23,277170,"right",1.6107,3,1.7091,"stimuli/objects/cellphone.jpg","new","right"
23,277170,"left",0.9181,1,1.0126,"stimuli/objects/muffintray01.jpg","old","left"
23,277170,"right",1.1718,2,1.3653,"stimuli/objects/microphone01.jpg","new","right"
23,277170,"left",2.4106,4,2.262,"stimuli/objects/podium.jpg","old","left"
23,277170,"left",2.101,2,5.8431,"stimuli/objects/fanheater.jpg","old","left"
23,277170,"left",3.0936,2,3.5673,"stimuli/objects/shotglass.jpg","old","left"
23,277170,"right",1.0817,4,2.3032,"stimuli/objects/nutcracker01.jpg","new","right"
23,277170,"left",3.519,3,2.3605,"stimuli/objects/fork03c.jpg","old","left"
23,277170,"left",1.5626,3,1.0976,"stimuli/objects/fan.jpg","new","right"
23,277170,"left",1.6671,3,2.4611,"stimuli/objects/adjustablewrench01b.jpg","old","left"
23,277170,"right",1.0704,3,2.1662,"stimuli/objects/ladder.jpg","new","right"
23,277170,"right",1.104,4,1.158,"stimuli/objects/toasteroven.jpg","old","left"
23,277170,"right",2.366,2,1.0165,"stimuli/objects/microwave.jpg","new","right"
23,277170,"right",1.3461,2,0.717,"stimuli/objects/contactlens.jpg","new","right"
23,277170,"left",1.1768,2,0.6161,"stimuli/objects/djmixer02.jpg","old","left"
23,277170,"left",1.3516,2,0.4535,"stimuli/objects/cuttingpliers02.jpg","old","left"
23,277170,"left",1.1421,3,0.9719,"stimuli/objects/crocodileclips.jpg","old","left"
23,277170,"left",1.1459,4,1.1355,"stimuli/objects/securitycamera.jpg","old","left"
23,277170,"left",1.4818,4,0.973,"stimuli/objects/lightbulb01.jpg","old","left"
23,277170,"right",3.0737,2,1.1374,"stimuli/objects/walkietalkie.jpg","old","left"
23,277170,"left",1.0758,4,0.8869,"stimuli/objects/garlicpress02a.jpg","new","right"
23,277170,"right",2.1349,2,1.0332,"stimuli/objects/bowl02a.jpg","old","left"
23,277170,"right",2.4242,2,0.7011,"stimuli/objects/scanner.jpg","old","left"
23,277170,"right",1.0249,4,0.9594,"stimuli/objects/jug.jpg","new","right"
23,277170,"left",1.4729,2,1.1017,"stimuli/objects/speaker04.jpg","new","right"
23,277170,"right",2.0638,4,1.2699,"stimuli/objects/cassettetape01a.jpg","new","right"
23,277170,"left",1.0751,4,1.1585,"stimuli/objects/dishrack.jpg","old","left"
23,277170,"left",3.9357,2,0.4533,"stimuli/objects/electricoutlet.jpg","old","left"
