images,key,word,CORRanswer,trialtype,hit_NoHit,illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,image.started,image.stopped,text_3.started,text_3.stopped,blank.started,blank.stopped,word_pres.started,word_pres.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,participant,Expra Code,date,expName,psychopyVersion,frameRate,
slide 1.jpg,'space’,,,,,0,0,0,0,,,,,8.903160838002805,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
slide 2.jpg,'l’,,,,,0,1,1,1,,,,,9.191321158999926,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
slide 3.jpg,'l’,,,,,0,2,2,2,,,,,9.559531677994528,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
slide 4.jpg,'l’,,,,,0,3,3,3,,,,,9.77265606400033,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
slide 5.jpg,'d’,,,,,0,4,4,4,,,,,9.927084397990257,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
slide 6.jpg,'l’,,,,,0,5,5,5,,,,,10.061689563997788,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
slide 7.jpg,'space’,,,,,0,6,6,6,,,,,10.213633148989175,None,,,,,,,,,,,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
,,bless,l,0,NoHit,,,,,0,0,0,0,,,10.32304785499582,None,10.956319450997398,None,11.97258819200215,13.477799888001755,13.462268793999101,None,['l'],0,[0.7541211469942937],23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
,,nature,l,0,NoHit,,,,,0,1,1,1,,,,,,,13.661547544994392,15.164330013998551,15.147672999999486,15.348066357997595,None,0,,23453574,,2021_Dez_03_1943,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.90301306852305,
