illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit,key_resp_4.rt
0,0,0,0,1,slide 1.jpg,'space’,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,0,0,0,0,0,1,bless,l,0,NoHit,
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l"",""l""]",0,0,1,1,1,1,nature,l,0,NoHit,"[0.5591000000089537,1.3440000000000083]"
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,2,2,2,1,carefree,l,0,NoHit,[0.6500999999940262]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,3,3,3,1,nature,d,1,Hit,[0.739200000002981]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,4,4,4,1,easygoing,l,0,NoHit,[0.5887999999970219]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,5,5,5,1,pillow,l,0,NoHit,[0.605000000000004]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,6,6,6,1,easygoing,d,1,Hit,[0.73690000000596]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,7,7,7,1,gentle,l,0,NoHit,[0.6827000000029813]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,8,8,8,1,square,l,0,NoHit,[0.47330000001191763]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,9,9,9,1,gentle,d,1,Hit,[0.46679999999702204]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l"",""l""]",0,0,10,10,10,1,carefree,l,0,NoHit,"[0.5758999999910515,1.5947999999970222]"
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,11,11,11,1,tool,l,0,NoHit,[1.3283999999910634]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,12,12,12,1,bored,l,0,NoHit,[0.5477999999970109]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,13,13,13,1,tool,d,1,Hit,[0.4792999999970107]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,14,14,14,1,home,l,0,NoHit,[0.5264999999999986]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,15,15,15,1,immature,l,0,NoHit,[0.4209000000059575]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,16,16,16,1,home,d,1,Hit,[0.5110999999940589]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,17,17,17,1,fault,l,0,NoHit,[0.4402999999970234]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,18,18,18,1,pillow,l,0,NoHit,[0.37299999999999045]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,19,19,19,1,violin,l,0,NoHit,[0.4359000000059723]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,0,20,20,20,1,violin,d,1,Hit,[0.39729999999701704]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,21,21,21,1,tense,l,0,NoHit,[0.42589999999106]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,22,22,22,1,confident,l,0,NoHit,[0.5849000000059448]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,23,23,23,1,bomb,l,0,NoHit,[0.43200000000001637]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,24,24,24,1,confident,d,1,Hit,[0.5799000000059493]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,25,25,25,1,butterfly,l,0,NoHit,[0.4556000000089284]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,26,26,26,1,cheer,l,0,NoHit,[0.3777999999970234]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,27,27,27,1,street,l,0,NoHit,[0.3717000000029884]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,0,28,28,28,1,cheer,d,1,Hit,[0.40949999999998]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,29,29,29,1,taxi,l,0,NoHit,[0.46750000000000114]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,30,30,30,1,adventure,l,0,NoHit,[0.5555999999940298]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,31,31,31,1,crutch,l,0,NoHit,[0.4447000000029675]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,32,32,32,1,adventure,d,1,Hit,[0.43619999998807657]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,33,33,33,1,vest,l,0,NoHit,[0.4695000000000107]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,34,34,34,1,taxi,l,0,NoHit,[0.6904000000059796]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,35,35,35,1,brave,l,0,NoHit,[0.4724999999999966]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,36,36,36,1,square,l,0,NoHit,[0.844599999994017]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,37,37,37,1,brave,d,1,Hit,[0.5757000000029677]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,38,38,38,1,unhappy,l,0,NoHit,[0.44999999999998863]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,39,39,39,1,deformed,l,0,NoHit,[0.5505999999940343]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,40,40,40,1,rifle,l,0,NoHit,[0.765500000000003]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,0,41,41,41,1,deformed,d,1,Hit,[0.7123000000119077]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,42,42,42,1,tense,l,0,NoHit,[0.8072000000029789]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,43,43,43,1,inferior,l,0,NoHit,[0.7503000000119187]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,0,44,44,44,1,exercise,l,0,NoHit,[0.9134000000059643]
,,,,,,,992,,2021-12-02_12h28.44.004,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,0,45,45,45,1,inferior,d,1,Hit,[0.9587000000030059]
