"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
14,NA,"left",1.5788,4,1.8924,"stimuli/objects/icepack.jpg","old","left"
14,NA,"right",1.1396,2,1.2562,"stimuli/objects/floppydisk02a.jpg","new","right"
14,NA,"left",6.7086,3,1.0119,"stimuli/objects/oven.jpg","old","left"
14,NA,"left",1.9269,3,1.2535,"stimuli/objects/electricoutlet.jpg","old","left"
14,NA,"right",1.2887,4,1.2963,"stimuli/objects/gps.jpg","old","left"
14,NA,"left",1.4833,2,0.2165,"stimuli/objects/tupperware03a.jpg","old","left"
14,NA,"left",1.0075,3,0.4081,"stimuli/objects/remotecontrol04.jpg","old","left"
14,NA,"left",1.4414,3,1.2854,"stimuli/objects/icecubetray01a.jpg","new","right"
14,NA,"left",1.1675,4,1.0631,"stimuli/objects/swissarmyknife01a.jpg","old","left"
14,NA,"right",1.4589,3,1.0121,"stimuli/objects/fan.jpg","new","right"
14,NA,"left",1.5054,1,0.241,"stimuli/objects/jack.jpg","old","left"
14,NA,"left",0.8672,2,0.2194,"stimuli/objects/camera01a.jpg","old","left"
14,NA,"left",1.613,4,0.5426,"stimuli/objects/spicerack.jpg","old","left"
14,NA,"left",1.5673,4,0.5954,"stimuli/objects/carantenna.jpg","old","left"
14,NA,"left",1.1808,4,0.7119,"stimuli/objects/whisk.jpg","old","left"
14,NA,"right",0.9234,3,0.3198,"stimuli/objects/cuttingpliers02.jpg","old","left"
14,NA,"left",1.6153,2,0.3735,"stimuli/objects/pot01.jpg","old","left"
14,NA,"left",1.5409,1,0.6946,"stimuli/objects/golfbag.jpg","old","left"
14,NA,"right",1.7383,2,0.2605,"stimuli/objects/megaphone.jpg","new","right"
14,NA,"right",1.4064,3,0.2125,"stimuli/objects/butterdish.jpg","new","right"
14,NA,"left",1.3181,4,0.762,"stimuli/objects/usbkey.jpg","old","left"
14,NA,"left",2.0794,4,0.2548,"stimuli/objects/snowshoe.jpg","old","left"
14,NA,"right",0.8683,1,4.0486,"stimuli/objects/gravyboat.jpg","new","right"
14,NA,"right",2.5324,3,0.5756,"stimuli/objects/satellitedish01.jpg","new","right"
14,NA,"left",1.44,4,0.921,"stimuli/objects/toyhockeystick01.jpg","old","left"
